date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-01-25,2018,speedy-tour-d-indonesia,stage,1.0,Java-Partizan Pro Cycling Team,0,2.1,,,0.0,,,,,,,0.0,17.0,3.0,0.0,0.0,1.0,124.56,122.0,0.987,0.0,0.0,0.0,2.25,0.833,120.0,0.594,1.43,0.0,1.89,0.256,0.0,293.0,406.0,175.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.04,59.0,-0.13,109.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,,1.0,🟢  Plat/Sprint,0
2018-01-26,2018,speedy-tour-d-indonesia,stage,2.0,Java-Partizan Pro Cycling Team,0,2.1,,,0.0,,,,,,,0.0,17.0,3.0,0.0,0.0,2.0,117.56,117.0,0.0,0.0,0.0,0.0,14.4,0.123,97.2,5.48,0.563,0.0,0.679,0.0,0.0,256.0,297.0,147.0,24.0,1.0,0.0,0.0,0.0,0.0,0.2362,0.0,0.0,0.0,0.0,0.0,-0.07,-0.1,31.0,-0.02,185.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-27,2018,speedy-tour-d-indonesia,stage,3.0,Java-Partizan Pro Cycling Team,0,2.1,,,0.0,,,,,,,14.0,17.0,3.0,0.0,0.0,3.0,199.79,199.0,1.32,0.0,0.0,0.0,4.2,0.549,195.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,1266.0,730.0,16.0,0.0,1.0,0.0,1.0,0.0,0.6172,0.6172,0.6172,0.6172,0.0,2.3,0.83,0.58,56.0,0.01,305.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,,2.0,⛰️  Moy. montagne,0
2018-01-28,2018,speedy-tour-d-indonesia,stage,4.0,Java-Partizan Pro Cycling Team,0,2.1,,,0.0,,,,,,,0.0,17.0,3.0,0.0,0.0,4.0,170.71,164.0,4.55,0.121,0.0,0.0,8.39,1.6,159.0,0.0,2.01,0.0,2.33,0.113,0.0,1890.0,1870.0,1408.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6519,0.5789,0.5789,0.5789,0.5789,-0.2,0.1,-0.2,18.0,0.02,215.0,1.0,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,-,14.0,2.0,⛰️  Moy. montagne,0
2018-03-04,2018,rhodes-gp,result,,Java-Partizan Pro Cycling Team,1,1.2,FIN,95.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,194.78,187.0,5.22,0.0,1.67,0.0,159.0,1.45,32.3,0.115,0.664,0.0,1.34,1.73,0.0,1793.0,1794.0,481.0,1.0,2.0,1.0,1.0,0.0,0.0,0.6309,0.5699,0.5699,0.0,0.0,0.0,-0.03,-0.02,26.0,0.18,546.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,-,7.0,2.0,⛰️  Moy. montagne,0
2018-03-09,2018,tour-of-rhodes,stage,1.0,Java-Partizan Pro Cycling Team,1,2.2,FIN,37.0,0.0,50.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,156.3,146.0,1.14,0.0,6.22,0.0,113.0,2.5,36.3,0.0,1.2,0.0,2.59,3.23,0.0,2009.0,2005.0,675.0,1.0,3.0,2.0,0.0,1.0,0.0,0.8572,0.8572,0.3635,0.3635,0.0,0.0,-0.3,-0.32,105.0,1.24,840.0,1.0,1,194.78,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,-,4.666666666666667,2.0,⛰️  Moy. montagne,0
2018-03-10,2018,tour-of-rhodes,stage,2.0,Java-Partizan Pro Cycling Team,1,2.2,FIN,80.0,0.0,50.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,172.53,152.0,7.34,0.0,3.95,0.0,147.0,2.32,11.2,0.0,8.36,0.0,8.8,3.16,0.0,2551.0,2530.0,538.0,2.0,3.0,2.0,2.0,0.0,0.0,0.7565,0.6728,0.6728,0.0,0.0,1.4,0.3,0.3,54.0,0.57,823.0,1.0,2,351.08000000000004,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,-,3.5,2.0,⛰️  Moy. montagne,0
2018-03-11,2018,tour-of-rhodes,stage,3.0,Java-Partizan Pro Cycling Team,1,2.2,FIN,30.0,0.0,50.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,174.63,171.0,1.4,0.0,1.09,0.0,130.0,2.8,40.4,0.115,0.93,0.0,1.19,0.147,0.0,1937.0,1938.0,538.0,1.0,4.0,1.0,1.0,0.0,0.0,0.7398,0.5788,0.5788,0.0,0.0,0.0,-0.03,0.0,29.0,0.01,485.0,1.0,3,523.61,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,-,2.8,2.0,⛰️  Moy. montagne,0
2018-03-31,2018,visegrad-4-bicycle-race-gp-slovakia,result,,Java-Partizan Pro Cycling Team,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,158.82,152.0,0.6,0.0,0.0,0.0,152.0,0.0,0.0,0.0,6.47,0.214,6.47,0.431,0.0,122.0,138.0,129.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.02,16.0,-0.03,34.0,0.0,4,698.24,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-04-08,2018,klasika-primavera,result,,Java-Partizan Pro Cycling Team,0,1.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,171.37,164.0,3.93,1.22,0.0,0.0,66.6,3.03,92.7,6.47,2.29,0.0,2.29,0.348,0.0,2043.0,2041.0,378.0,49.0,3.0,1.0,3.0,0.0,0.0,0.9753,0.9086,0.9086,0.0,0.0,0.1,-3.03,-2.24,129.0,0.09,370.0,0.0,3,503.46,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,,Other,0.0,2.0,⛰️  Moy. montagne,0
