date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-02-18,2018,grand-prix-alanya,result,,Torku Sekerspor,1,1.2,FIN,3.0,25.0,,,,,,,58.0,58.0,0.0,0.0,0.0,,175.01,168.0,4.66,1.44,0.0,0.0,48.2,0.605,121.0,3.03,1.13,0.0,1.48,1.23,0.0,1657.0,1658.0,232.0,-12.0,0.0,4.0,0.0,0.0,0.0,0.8381,0.8381,0.0,0.0,0.0,0.7,0.1,0.1,411.0,0.14,361.0,1,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,21.0,,-,,2.0,⛰️  Moy. montagne,0
2018-02-22,2018,tour-of-antalya,stage,1.0,Torku Sekerspor,1,2.2,FIN,90.0,0.0,84.0,0.0,,,,,0.0,30.0,30.0,0.0,0.0,1.0,155.04,155.0,0.0,0.188,0.0,0.0,30.9,0.105,124.0,0.0,0.0,0.0,0.0,0.188,0.0,1566.0,1561.0,998.0,17.0,0.0,1.0,0.0,0.0,1.0,0.6352,0.6352,0.6352,0.6352,0.6352,0.0,0.17,-0.1,165.0,1.66,991.0,1,1,175.01,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,-,58.0,2.0,⛰️  Moy. montagne,0
2018-02-23,2018,tour-of-antalya,stage,2.0,Torku Sekerspor,1,2.2,FIN,57.0,0.0,84.0,0.0,,,,,0.0,30.0,30.0,0.0,0.0,2.0,118.27,114.0,0.845,0.0,0.0,0.0,57.6,1.49,56.1,0.0,3.38,0.0,2.18,0.0,0.0,2142.0,2141.0,1287.0,-10.0,0.0,0.0,0.0,0.0,1.0,0.5783,0.5783,0.5783,0.5783,0.5783,0.5,0.47,0.08,217.0,0.29,572.0,1,2,330.04999999999995,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,-,29.0,2.0,⛰️  Moy. montagne,0
2018-02-24,2018,tour-of-antalya,stage,3.0,Torku Sekerspor,1,2.2,FIN,119.0,0.0,84.0,0.0,,,,,0.0,30.0,30.0,0.0,0.0,3.0,32.53,28.6,3.86,0.0,0.0,0.0,27.5,2.99,1.88,0.0,0.409,0.0,0.409,0.0,0.0,1156.0,33.0,1129.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9982,0.9982,0.9982,0.9982,0.9982,7.5,7.9,8.26,413.0,3.45,1156.0,1,3,448.31999999999994,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,-,,3.0,🏔️  Haute montagne,0
2018-02-25,2018,tour-of-antalya,stage,4.0,Torku Sekerspor,1,2.2,FIN,56.0,0.0,84.0,0.0,,,,,0.0,30.0,30.0,0.0,0.0,4.0,144.1,140.0,3.3,0.417,0.0,0.0,79.5,1.5,62.3,0.0,0.844,0.0,1.26,0.492,0.0,463.0,439.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,0.13,-0.12,178.0,-0.0,160.0,1,4,480.8499999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,-,,1.0,🟢  Plat/Sprint,0
2018-03-02,2018,tour-of-mediterrennean,stage,1.0,Torku Sekerspor,1,2.2,FIN,34.0,0.0,47.0,0.0,,,,,0.0,90.0,70.0,0.0,0.0,1.0,196.17,195.0,1.37,0.0,0.0,0.0,5.28,1.15,190.0,0.0,0.0,0.0,0.237,0.0,0.0,1055.0,1117.0,734.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6086,0.2678,0.2678,0.2678,0.0,0.2,-0.07,-0.2,95.0,0.5,696.0,1,5,624.9499999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,-,19.333333333333332,2.0,⛰️  Moy. montagne,0
2018-03-03,2018,tour-of-mediterrennean,stage,2.0,Torku Sekerspor,1,2.2,FIN,17.0,0.0,47.0,0.0,,,,,10.0,90.0,70.0,0.0,0.0,2.0,121.42,103.0,12.0,0.0,0.0,0.0,49.6,1.6,60.7,3.54,6.18,0.0,6.18,0.0,0.0,729.0,757.0,324.0,2.0,1.0,1.0,0.0,0.0,0.0,0.6235,0.6235,0.0,0.0,0.0,-0.8,-0.3,-0.18,57.0,-0.01,280.0,1,6,821.1199999999999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-03-04,2018,tour-of-mediterrennean,stage,3.0,Torku Sekerspor,1,2.2,FIN,62.0,0.0,47.0,0.0,,,,,10.0,90.0,70.0,0.0,0.0,3.0,116.79,86.2,1.14,1.5,0.266,0.0,9.25,2.22,76.8,0.653,27.7,0.0,21.8,0.266,0.0,687.0,691.0,188.0,2.0,1.0,1.0,0.0,0.0,0.0,0.2469,0.15,0.0,0.0,0.0,-0.5,0.07,0.0,68.0,0.0,443.0,1,7,942.5399999999998,7.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,14.0,,-,5.0,1.0,🟢  Plat/Sprint,0
2018-03-11,2018,grand-prix-side,result,,Torku Sekerspor,1,1.2,FIN,9.0,3.0,,,,,,,23.0,23.0,0.0,0.0,0.0,,184.75,177.0,0.241,3.94,1.06,0.0,71.5,0.521,109.0,0.0,2.71,0.0,3.32,1.19,0.0,1947.0,1945.0,504.0,1.0,0.0,1.0,1.0,0.0,0.0,0.838,0.838,0.7371,0.0,0.0,0.2,0.13,0.08,197.0,0.02,397.0,1,8,1059.33,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,15.0,,-,14.5,2.0,⛰️  Moy. montagne,0
2018-03-29,2018,tour-of-faith-sultan-mehmet,stage,1.0,Torku Sekerspor,0,2.2,,,0.0,,,,,,,0.0,22.0,15.0,0.0,0.0,1.0,132.95,133.0,0.0,0.0,0.0,0.0,0.333,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,871.0,851.0,123.0,11.0,2.0,0.0,0.0,0.0,0.0,0.663,0.0,0.0,0.0,0.0,1.5,0.73,0.44,217.0,0.08,302.0,0,4,619.13,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,-,6.666666666666667,1.0,🟢  Plat/Sprint,0
