date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-01-07,2018,nc-new-zealand,result,,Team EF Education First - Drapac p/b Cannondale,0,NC,,,0.0,,,,,,,1.0,1.0,0.0,0.0,0.0,,107.76,69.3,37.0,0.0,0.0,0.0,70.0,3.65,22.6,10.1,0.0,0.0,0.0,0.0,0.0,1349.0,1359.0,210.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1469,0.1469,0.0,0.0,0.0,-4.0,-1.7,-0.02,129.0,-0.01,529.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,,-,15.0,1.0,🟢  Plat/Sprint,0
2018-01-07,2018,nc-australia,result,,Team EF Education First - Drapac p/b Cannondale,0,NC,,,0.0,,,,,,,15.0,15.0,0.0,0.0,0.0,,93.15,11.3,81.8,0.0,0.0,0.0,58.3,12.8,12.2,9.85,0.0,0.0,0.0,0.0,0.0,1489.0,1485.0,596.0,440.0,8.0,0.0,0.0,0.0,0.0,0.9065,0.0,0.0,0.0,0.0,-4.3,-1.7,-2.3,200.0,0.31,899.0,0.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,,-,,1.0,🟢  Plat/Sprint,0
2018-01-16,2018,tour-down-under,stage,1.0,Team EF Education First - Drapac p/b Cannondale,1,2.UWT,FIN,98.0,0.0,24.0,20.0,,,,,0.0,50.0,50.0,0.0,0.0,1.0,115.57,109.0,6.52,0.0,0.0,0.0,53.1,0.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,1140.0,522.0,337.0,4.0,2.0,0.0,0.0,0.0,0.934,0.7648,0.0,0.0,0.0,-1.4,-1.73,-1.84,163.0,0.29,554.0,0.0,0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,,Sprint of large group,8.0,1.0,🟢  Plat/Sprint,0
2018-01-17,2018,tour-down-under,stage,2.0,Team EF Education First - Drapac p/b Cannondale,1,2.UWT,FIN,14.0,0.0,24.0,20.0,,,,,0.0,50.0,50.0,0.0,0.0,2.0,101.89,98.4,3.57,0.0,0.0,0.0,64.0,5.1,29.0,3.87,0.0,0.0,0.0,0.0,0.0,997.0,678.0,494.0,149.0,2.0,0.0,1.0,0.0,0.0,0.9983,0.9983,0.9983,0.0,0.0,5.1,6.07,4.46,374.0,0.01,415.0,0.0,1,115.57,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,,Sprint of large group,5.333333333333333,1.0,🟢  Plat/Sprint,0
2018-01-18,2018,tour-down-under,stage,3.0,Team EF Education First - Drapac p/b Cannondale,1,2.UWT,FIN,43.0,0.0,24.0,20.0,,,,,0.0,50.0,50.0,0.0,0.0,3.0,122.35,110.0,11.9,0.0,0.118,0.0,91.4,8.37,20.1,1.72,0.299,0.0,0.0,0.527,0.0,1263.0,901.0,425.0,2.0,2.0,0.0,1.0,0.0,0.0,0.9776,0.6443,0.6443,0.0,0.0,1.4,1.37,1.58,226.0,0.12,277.0,0.0,2,217.46,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,,Sprint of large group,4.0,1.0,🟢  Plat/Sprint,0
2018-01-19,2018,tour-down-under,stage,4.0,Team EF Education First - Drapac p/b Cannondale,1,2.UWT,FIN,26.0,0.0,24.0,20.0,,,,,0.0,50.0,50.0,0.0,0.0,4.0,46.79,40.4,2.85,0.0,0.0,0.0,2.22,1.39,0.0,36.8,3.24,0.0,5.42,5.22,0.0,300.0,300.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.13,-0.1,68.0,0.0,300.0,0.0,3,339.80999999999995,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,,Sprint of small group,3.2,1.0,🟢  Plat/Sprint,0
2018-01-20,2018,tour-down-under,stage,5.0,Team EF Education First - Drapac p/b Cannondale,1,2.UWT,FIN,27.0,0.0,24.0,20.0,,,,,0.0,50.0,50.0,0.0,0.0,5.0,151.46,141.0,9.29,0.0,0.0,0.0,115.0,8.0,23.5,3.89,1.09,0.0,1.09,0.0,0.0,1307.0,1006.0,377.0,6.0,2.0,1.0,1.0,0.0,0.0,0.9991,0.9991,0.8158,0.0,0.0,5.8,7.33,5.9,344.0,-0.04,292.0,0.0,4,386.6,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,,1.1 km solo,,3.0,🏔️  Haute montagne,0
2018-01-21,2018,tour-down-under,stage,6.0,Team EF Education First - Drapac p/b Cannondale,1,2.UWT,FIN,82.0,0.0,24.0,20.0,,,,,0.0,50.0,50.0,0.0,0.0,6.0,89.9,86.2,1.34,0.499,0.294,0.0,65.4,10.6,0.0,11.0,0.0,0.0,0.0,1.02,0.294,616.0,620.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.6,-0.1,62.0,0.02,352.0,0.0,5,538.06,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,,-,0.2,1.0,🟢  Plat/Sprint,0
2018-01-31,2018,vuelta-a-la-comunidad-valenciana,stage,1.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,191.24,175.0,4.78,0.329,1.15,0.0,75.6,0.721,90.8,12.1,10.9,0.0,9.28,1.84,0.0,2448.0,2447.0,789.0,0.0,2.0,1.0,0.0,1.0,0.0,0.7756,0.5271,0.5271,0.5271,0.0,0.1,-0.07,-0.04,30.0,0.38,706.0,0.0,6,627.9599999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,Sprint of large group,,2.0,⛰️  Moy. montagne,0
2018-02-01,2018,vuelta-a-la-comunidad-valenciana,stage,2.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,153.71,144.0,8.57,0.337,0.833,0.0,111.0,0.822,34.4,6.56,0.0,0.0,0.0,0.833,0.0,2363.0,2454.0,713.0,7.0,1.0,1.0,3.0,0.0,0.0,0.8413,0.8413,0.8413,0.0,0.0,-0.5,-0.43,-0.38,5.0,0.59,837.0,0.0,6,627.9599999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,Sprint of small group,0.0,2.0,⛰️  Moy. montagne,0
2018-02-02,2018,nc-colombia-itt,result,,Team EF Education First - Drapac p/b Cannondale,0,NC,,,0.0,,,,,,,40.0,40.0,0.0,0.0,0.0,,24.89,21.6,0.308,0.0,0.0,0.0,0.0,0.111,21.5,0.192,2.72,0.0,3.07,0.419,0.0,126.0,126.0,1554.0,1452.0,1.0,0.0,0.0,0.0,0.0,0.3132,0.0,0.0,0.0,0.0,-0.3,0.33,0.14,126.0,0.0,126.0,0.0,6,627.9599999999999,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,,Time trial,,0.0,⏱️  CLM,0
2018-02-03,2018,vuelta-a-la-comunidad-valenciana,stage,4.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,183.96,179.0,4.48,0.0,0.0,0.0,126.0,3.18,54.3,0.0,0.753,0.0,0.753,0.0,0.0,4084.0,3295.0,1020.0,11.0,2.0,4.0,1.0,0.0,1.0,0.9998,0.9998,0.9998,0.5392,0.5392,12.6,10.13,7.72,420.0,0.49,558.0,0.0,6,627.9599999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,0.3 km solo,0.0,3.0,🏔️  Haute montagne,0
2018-02-04,2018,nc-colombia,result,,Team EF Education First - Drapac p/b Cannondale,0,NC,,,0.0,,,,,,,20.0,20.0,0.0,0.0,0.0,,227.08,178.0,36.0,5.28,0.0,0.0,0.922,19.0,159.0,0.0,0.0,0.0,11.6,50.4,1.15,3114.0,3116.0,1599.0,1481.0,19.0,0.0,0.0,0.0,0.0,0.9718,0.0,0.0,0.0,0.0,-1.0,-0.53,-0.06,158.0,-0.09,660.0,0.0,6,627.9599999999999,100.0,1.391,0.0,0.556,0.0,0.278,0.0,0.0,127.0,,-,0.0,2.0,⛰️  Moy. montagne,0
2018-02-04,2018,vuelta-a-la-comunidad-valenciana,stage,5.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,135.04,128.0,1.0,0.0,0.616,0.0,92.5,1.25,16.6,18.8,5.04,0.0,4.51,0.625,0.0,1537.0,1565.0,496.0,8.0,1.0,0.0,1.0,0.0,0.0,0.7544,0.7544,0.7544,0.0,0.0,-0.3,-0.27,-0.24,44.0,0.23,474.0,0.0,6,627.9599999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-02-06,2018,colombia-21,stage,1.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,137.0,123.0,0.0,0.0,1.0,98.97,90.9,4.95,2.68,0.0,0.0,19.2,1.4,68.8,9.19,0.0,0.0,0.0,0.0,0.0,295.0,295.0,1026.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.5,-0.44,32.0,0.05,160.0,0.0,6,627.9599999999999,14.0,0.774,0.0,0.193,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2018-02-07,2018,colombia-21,stage,2.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,137.0,123.0,0.0,0.0,2.0,183.2,182.0,1.15,0.0,0.0,0.0,4.81,0.49,177.0,0.882,0.221,0.0,0.295,0.0,0.0,365.0,366.0,1061.0,966.0,1.0,0.0,0.0,0.0,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.23,0.4,47.0,-0.07,57.0,0.0,6,627.9599999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2018-02-08,2018,colombia-21,stage,3.0,Team EF Education First - Drapac p/b Cannondale,0,2.1,,,0.0,,,,,,,0.0,137.0,123.0,0.0,0.0,3.0,165.31,161.0,4.57,0.0,0.0,0.0,21.6,1.8,142.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,613.0,1035.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.33,0.04,76.0,-0.11,140.0,0.0,6,627.9599999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
