date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-04-06,2018,tour-du-maroc,stage,1.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,0.0,82.0,68.0,0.0,0.0,1.0,142.72,132.0,0.557,0.0,0.199,0.0,16.0,0.451,115.0,0.0,10.3,0.0,10.5,1.71,0.0,1244.0,705.0,547.0,3.0,0.0,1.0,1.0,0.0,0.0,0.999,0.999,0.999,0.0,0.0,0.6,1.3,1.1,217.0,0.57,400.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,,1.0,🟢  Plat/Sprint,0
2018-04-07,2018,tour-du-maroc,stage,2.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,7.0,82.0,68.0,0.0,0.0,2.0,162.38,161.0,0.343,0.0,0.109,0.0,0.0,0.443,161.0,0.0,0.573,0.0,0.673,0.242,0.0,1851.0,1429.0,1684.0,419.0,0.0,1.0,0.0,0.0,1.0,0.7922,0.7922,0.3405,0.3405,0.3405,0.2,-0.37,-0.44,32.0,2.11,1104.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,,2.0,⛰️  Moy. montagne,0
2018-04-08,2018,tour-du-maroc,stage,3.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,3.0,82.0,68.0,0.0,0.0,3.0,189.27,178.0,0.297,0.0,0.0,0.0,0.0,0.297,172.0,6.59,10.9,0.0,0.317,0.0,0.0,383.0,450.0,588.0,368.0,0.0,1.0,0.0,0.0,0.0,0.6781,0.6781,0.0,0.0,0.0,-0.2,-0.27,-0.2,5.0,-0.2,70.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2018-04-09,2018,tour-du-maroc,stage,4.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,0.0,82.0,68.0,0.0,0.0,4.0,193.16,175.0,1.46,0.0,1.58,0.0,4.45,4.11,169.0,2.12,12.1,0.0,14.4,1.19,0.0,2964.0,2289.0,2233.0,467.0,1.0,1.0,0.0,0.0,1.0,0.5954,0.5954,0.5954,0.5954,0.5954,1.2,0.37,-0.24,49.0,1.1,610.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,7.0,2.0,⛰️  Moy. montagne,0
2018-04-10,2018,tour-du-maroc,stage,5.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,0.0,82.0,68.0,0.0,0.0,5.0,158.89,148.0,1.62,0.0,1.35,0.0,10.7,1.26,111.0,25.9,6.74,0.0,7.07,3.33,0.0,1255.0,1670.0,1690.0,728.0,1.0,0.0,1.0,0.0,0.0,0.2684,0.2684,0.2684,0.0,0.0,-0.7,-0.4,-0.24,77.0,1.01,913.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,3.5,2.0,⛰️  Moy. montagne,0
2018-04-11,2018,tour-du-maroc,stage,6.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,0.0,82.0,68.0,0.0,0.0,6.0,203.45,202.0,0.0,0.0,0.511,0.0,42.0,0.367,153.0,6.48,1.47,0.0,1.58,0.511,0.0,951.0,2119.0,1845.0,234.0,1.0,0.0,1.0,0.0,0.0,0.6451,0.1626,0.1626,0.0,0.0,-0.8,-0.6,-0.5,5.0,0.82,557.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,2.3333333333333335,2.0,⛰️  Moy. montagne,0
2018-04-12,2018,tour-du-maroc,stage,7.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,0.0,82.0,68.0,0.0,0.0,7.0,120.25,110.0,9.96,0.0,0.0,0.0,87.6,0.241,32.3,0.0,0.0,0.0,0.0,0.0,0.0,149.0,363.0,235.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-0.3,-0.02,37.0,-0.32,16.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,1.5,1.0,🟢  Plat/Sprint,0
2018-04-13,2018,tour-du-maroc,stage,8.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,1.0,82.0,68.0,0.0,0.0,8.0,202.88,202.0,0.124,0.0,0.0,0.0,0.941,0.124,201.0,0.0,0.743,0.0,0.992,0.249,0.0,1945.0,1961.0,442.0,1.0,3.0,1.0,1.0,0.0,0.0,0.9241,0.6702,0.6702,0.0,0.0,0.1,-1.03,-1.52,36.0,0.0,482.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,1.75,2.0,⛰️  Moy. montagne,0
2018-04-14,2018,tour-du-maroc,stage,9.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,0.0,82.0,68.0,0.0,0.0,9.0,151.35,151.0,0.173,0.0,0.0,0.0,23.7,0.341,127.0,0.0,0.0,0.0,0.168,0.0,0.0,377.0,442.0,186.0,5.0,1.0,0.0,0.0,0.0,0.0,0.2614,0.0,0.0,0.0,0.0,-0.7,-0.43,-0.46,30.0,0.21,230.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,Sprint of large group,1.0,1.0,🟢  Plat/Sprint,0
2018-04-15,2018,tour-du-maroc,stage,10.0,Vendée U Pays de la Loire,0,2.2,,,0.0,,,,,,,3.0,82.0,68.0,0.0,0.0,10.0,126.58,123.0,1.79,0.0,0.0,0.0,14.2,0.694,108.0,0.0,0.644,0.0,1.51,2.74,0.0,479.0,476.0,143.0,2.0,1.0,0.0,0.0,0.0,0.0,0.1876,0.0,0.0,0.0,0.0,0.2,-0.1,-0.08,37.0,0.19,270.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,,-,0.75,1.0,🟢  Plat/Sprint,0
