date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-01-25,2018,trofeo-ses-salines-felanitx,result,,Burgos - BH,0,1.1,,,0.0,,,,,,,18.0,18.0,0.0,0.0,0.0,,177.51,166.0,11.1,0.0,0.0,0.0,132.0,5.95,18.5,21.0,0.0,0.0,0.0,0.0,0.0,1030.0,1022.0,177.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6878,0.6878,0.0,0.0,0.0,0.4,0.2,0.68,81.0,0.03,366.0,1.0,0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,,Sprint of large group,,1.0,🟢  Plat/Sprint,0
2018-01-26,2018,deia-trophy,result,,Burgos - BH,1,1.1,DNF,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,140.19,140.0,0.0,0.0,0.0,0.0,127.0,0.347,5.34,7.49,0.0,0.0,0.0,0.0,0.0,2913.0,2769.0,882.0,9.0,1.0,1.0,3.0,0.0,1.0,0.9688,0.9688,0.7975,0.7975,0.7975,3.4,1.2,-0.9,218.0,0.14,944.0,1.0,0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,,Sprint à deux,,2.0,⛰️  Moy. montagne,0
2018-01-27,2018,trofeo-pollenca-port-d-andratx,result,,Burgos - BH,1,1.1,DNF,,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,172.63,168.0,3.47,0.599,0.0,0.0,139.0,2.11,28.6,1.93,0.727,0.0,0.988,0.139,0.0,2614.0,2654.0,585.0,1.0,5.0,1.0,2.0,0.0,0.0,0.9795,0.725,0.5145,0.0,0.0,3.3,-0.1,0.28,176.0,0.81,744.0,1.0,1,140.19,125.0,0.368,0.0,0.368,0.0,0.0,0.0,0.0,240.0,,8 km solo,0.0,2.0,⛰️  Moy. montagne,0
2018-01-28,2018,trofeo-palma,result,,Burgos - BH,0,1.1,,,0.0,,,,,,,15.0,15.0,0.0,0.0,0.0,,159.59,151.0,7.38,0.233,0.0,0.297,70.0,3.5,76.8,8.21,1.04,0.0,1.12,0.958,0.0,1134.0,1135.0,375.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6983,0.6983,0.6983,0.0,0.0,0.5,0.07,0.02,93.0,0.12,365.0,1.0,2,312.82,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,,Sprint of large group,18.0,1.0,🟢  Plat/Sprint,0
2018-01-31,2018,vuelta-a-la-comunidad-valenciana,stage,1.0,Burgos - BH,1,2.1,FIN,157.0,0.0,86.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,191.24,175.0,4.78,0.329,1.15,0.0,75.6,0.721,90.8,12.1,10.9,0.0,9.28,1.84,0.0,2448.0,2447.0,789.0,0.0,2.0,1.0,0.0,1.0,0.0,0.7756,0.5271,0.5271,0.5271,0.0,0.1,-0.07,-0.04,30.0,0.38,706.0,1.0,2,312.82,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,Sprint of large group,1.5,2.0,⛰️  Moy. montagne,0
2018-02-01,2018,vuelta-a-la-comunidad-valenciana,stage,2.0,Burgos - BH,1,2.1,FIN,67.0,0.0,86.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,153.71,144.0,8.57,0.337,0.833,0.0,111.0,0.822,34.4,6.56,0.0,0.0,0.0,0.833,0.0,2363.0,2454.0,713.0,7.0,1.0,1.0,3.0,0.0,0.0,0.8413,0.8413,0.8413,0.0,0.0,-0.5,-0.43,-0.38,5.0,0.59,837.0,1.0,3,504.06,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,Sprint of small group,1.0,2.0,⛰️  Moy. montagne,0
2018-02-03,2018,vuelta-a-la-comunidad-valenciana,stage,4.0,Burgos - BH,1,2.1,FIN,78.0,0.0,86.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,4.0,183.96,179.0,4.48,0.0,0.0,0.0,126.0,3.18,54.3,0.0,0.753,0.0,0.753,0.0,0.0,4084.0,3295.0,1020.0,11.0,2.0,4.0,1.0,0.0,1.0,0.9998,0.9998,0.9998,0.5392,0.5392,12.6,10.13,7.72,420.0,0.49,558.0,1.0,4,657.77,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,0.3 km solo,,3.0,🏔️  Haute montagne,0
2018-02-04,2018,vuelta-a-la-comunidad-valenciana,stage,5.0,Burgos - BH,1,2.1,FIN,131.0,0.0,86.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,5.0,135.04,128.0,1.0,0.0,0.616,0.0,92.5,1.25,16.6,18.8,5.04,0.0,4.51,0.625,0.0,1537.0,1565.0,496.0,8.0,1.0,0.0,1.0,0.0,0.0,0.7544,0.7544,0.7544,0.0,0.0,-0.3,-0.27,-0.24,44.0,0.23,474.0,1.0,5,841.73,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,,-,16.5,1.0,🟢  Plat/Sprint,0
2018-02-06,2018,colombia-21,stage,1.0,Burgos - BH,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,98.97,90.9,4.95,2.68,0.0,0.0,19.2,1.4,68.8,9.19,0.0,0.0,0.0,0.0,0.0,295.0,295.0,1026.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.5,-0.44,32.0,0.05,160.0,0.0,6,976.77,14.0,0.774,0.0,0.193,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,11.0,1.0,🟢  Plat/Sprint,0
2018-02-07,2018,colombia-21,stage,2.0,Burgos - BH,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,183.2,182.0,1.15,0.0,0.0,0.0,4.81,0.49,177.0,0.882,0.221,0.0,0.295,0.0,0.0,365.0,366.0,1061.0,966.0,1.0,0.0,0.0,0.0,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.23,0.4,47.0,-0.07,57.0,0.0,6,976.77,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,8.25,1.0,🟢  Plat/Sprint,0
2018-02-08,2018,colombia-21,stage,3.0,Burgos - BH,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,165.31,161.0,4.57,0.0,0.0,0.0,21.6,1.8,142.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,613.0,1035.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.33,0.04,76.0,-0.11,140.0,0.0,6,976.77,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,6.6,1.0,🟢  Plat/Sprint,0
2018-02-09,2018,colombia-21,stage,4.0,Burgos - BH,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,149.47,146.0,3.44,0.0,0.0,0.0,11.1,0.611,137.0,0.789,0.0,0.0,0.492,0.0,0.0,1357.0,568.0,1756.0,910.0,0.0,0.0,0.0,0.0,1.0,0.9995,0.9995,0.9995,0.9995,0.9995,6.9,6.27,5.56,399.0,-0.03,174.0,0.0,6,976.77,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint à deux,0.0,3.0,🏔️  Haute montagne,0
2018-02-10,2018,vuelta-ciclista-a-la-region-de-murcia,result,,Burgos - BH,0,1.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,206.91,204.0,1.24,0.466,0.0,0.0,93.9,8.95,102.0,1.39,0.205,0.0,1.63,0.206,0.0,2784.0,2771.0,1199.0,27.0,3.0,1.0,1.0,0.0,1.0,0.8584,0.8066,0.6501,0.6501,0.6501,0.0,0.0,-0.14,7.0,0.25,450.0,1.0,6,976.77,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,,0.8 km solo,0.75,2.0,⛰️  Moy. montagne,0
2018-02-10,2018,colombia-21,stage,5.0,Burgos - BH,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,166.91,162.0,3.91,0.0,0.0,0.0,9.11,0.5,155.0,2.01,0.88,0.11,0.928,0.0,0.0,2153.0,1491.0,2023.0,910.0,1.0,1.0,0.0,0.0,1.0,0.9996,0.9996,0.859,0.859,0.859,6.8,7.03,3.48,262.0,-0.82,165.0,0.0,6,976.77,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of small group,0.0,3.0,🏔️  Haute montagne,0
