date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2018-01-21,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,1.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,146.95,130.0,12.0,0.0,2.73,0.0,78.4,0.764,65.2,0.0,2.95,0.0,2.95,0.0,0.0,179.0,193.0,627.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.47,0.34,74.0,-0.14,14.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,Sprint of large group,,1.0,🟢  Plat/Sprint,0
2018-01-22,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,2.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,149.72,147.0,3.13,0.0,0.512,0.0,91.7,0.512,48.3,9.36,0.0,0.0,0.0,0.327,0.0,1087.0,1088.0,974.0,712.0,0.0,4.0,0.0,0.0,0.0,0.9812,0.9812,0.0,0.0,0.0,-0.3,1.33,2.16,223.0,-0.35,253.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-23,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,3.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,14.95,1.7,0.168,0.0,0.0,0.0,1.69,0.0,0.0,0.0,13.4,0.0,13.7,0.464,0.0,35.0,48.0,663.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,35.0,-0.09,35.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,Time trial,0.0,1.0,🟢  Plat/Sprint,0
2018-01-24,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,4.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,4.0,194.62,192.0,1.31,0.0,0.0,0.0,54.9,0.881,138.0,0.0,1.51,0.0,1.33,0.0,0.0,1125.0,1399.0,1508.0,776.0,1.0,0.0,0.0,1.0,0.0,0.5813,0.5813,0.5813,0.5813,0.0,-0.3,-0.47,-0.48,3.0,-0.48,167.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,? km solo,0.0,1.0,🟢  Plat/Sprint,0
2018-01-26,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,5.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,169.35,124.0,45.5,0.0,0.0,0.0,125.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,2469.0,440.0,2623.0,586.0,1.0,1.0,0.0,0.0,1.0,0.9992,0.9992,0.9992,0.9992,0.9992,5.6,5.27,5.14,1013.0,0.32,198.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,-,,3.0,🏔️  Haute montagne,0
2018-01-27,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,6.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,6.0,151.86,112.0,11.8,0.0,2.69,0.0,11.0,1.46,113.0,0.0,26.6,0.0,27.7,1.57,0.0,520.0,514.0,829.0,572.0,1.0,1.0,0.0,0.0,0.0,0.8745,0.3863,0.0,0.0,0.0,0.2,0.23,0.5,92.0,-0.12,56.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-01-28,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage,7.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,7.0,144.11,22.2,2.11,0.0,0.0,0.0,22.1,0.0,0.0,0.0,123.0,0.0,128.0,6.91,0.0,440.0,442.0,663.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.13,0.12,63.0,0.03,164.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,,-,0.0,1.0,🟢  Plat/Sprint,0
2018-02-06,2018,colombia-21,stage,1.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,98.97,90.9,4.95,2.68,0.0,0.0,19.2,1.4,68.8,9.19,0.0,0.0,0.0,0.0,0.0,295.0,295.0,1026.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.5,-0.44,32.0,0.05,160.0,1,0,0.0,14.0,0.774,0.0,0.193,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2018-02-07,2018,colombia-21,stage,2.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,183.2,182.0,1.15,0.0,0.0,0.0,4.81,0.49,177.0,0.882,0.221,0.0,0.295,0.0,0.0,365.0,366.0,1061.0,966.0,1.0,0.0,0.0,0.0,0.0,0.389,0.0,0.0,0.0,0.0,0.0,0.23,0.4,47.0,-0.07,57.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
2018-02-08,2018,colombia-21,stage,3.0,Trevigiani Phonix - Hemus 1896,0,2.1,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,165.31,161.0,4.57,0.0,0.0,0.0,21.6,1.8,142.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,613.0,1035.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.33,0.04,76.0,-0.11,140.0,1,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,,Sprint of large group,0.0,1.0,🟢  Plat/Sprint,0
