date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-08-06,2017,antwerpse-havenpijl,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,43.0
2017-04-22,2017,arno-wallaard-memorial,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,28.0
2017-03-12,2017,dorpenomloop-rucphen,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,0.0
2017-06-10,2017,dwars-door-de-vlaamse-ardennen,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,0.0
2017-09-11,2017,grote-prijs-marcel-kint,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,0.0
2017-07-07,2017,grote-prijs-stad-sint-niklaas2,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,20.0
2017-10-08,2017,international-azerbaijan-tour,gc,Baby-Dump Cyclingteam,2.1,57.0,0.0,1,,9.0,,,26.0
2017-09-03,2017,kernen-omloop-echt-susteren,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,40.0
2017-07-29,2017,kreiz-breizh-elites,gc,Baby-Dump Cyclingteam,2.2,,0,0,,0.0,,,3.0
2017-07-09,2017,midden-brabant-poort-omloop,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,3.0
2017-10-17,2017,nationale-sluitingsprijs-putte-kapellen,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,130.0
2017-06-25,2017,nc-netherlands,gc,Baby-Dump Cyclingteam,NC,,0,0,,0.0,,,25.0
2017-09-20,2017,omloop-van-het-houtland-lichtervelde,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,3.0
2017-03-11,2017,ronde-van-drenthe,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,0.0
2017-06-11,2017,ronde-van-limburg,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,0.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Baby-Dump Cyclingteam,2.2,48.0,0.0,1,,0.0,,,0.0
2017-05-14,2017,ronde-van-noord-holland,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,30.0
2017-05-06,2017,ronde-van-overijssel,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,20.0
