date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-05,2017,3daagse-van-west-vlaanderen,gc,Israel Cycling Academy,1.1,,0,0,,0.0,,,0.0
2017-05-03,2017,baku-khankendi-azerbaijan-cycling-race,gc,Israel Cycling Academy,2.1,,0,0,,58.0,,,96.0
2017-08-24,2017,baltic-chain-tour,gc,Israel Cycling Academy,2.2,,0,0,,28.0,,,35.0
2017-04-12,2017,brabantse-pijl,gc,Israel Cycling Academy,1.HC,,,1,,0.0,,,0.0
2017-03-17,2017,bredene-koksijde-classic,gc,Israel Cycling Academy,1.1,,0,0,,0.0,,,3.0
2017-03-28,2017,classic-brugge-de-panne,gc,Israel Cycling Academy,2.HC,,,1,,0.0,,,0.0
2017-08-10,2017,colorado-classic,gc,Israel Cycling Academy,2.HC,,0,0,,3.0,,,23.0
2017-09-13,2017,coppa-agostoni,gc,Israel Cycling Academy,1.1,,,1,,0.0,,,0.0
2017-09-14,2017,coppa-bernocchi,gc,Israel Cycling Academy,1.1,,,1,,0.0,,,115.0
2017-06-08,2017,coupe-des-nations-ville-saguenay,gc,Israel Cycling Academy,2.2,,0,0,,30.0,,,34.0
2017-03-22,2017,dwars-door-vlaanderen,gc,Israel Cycling Academy,1.UWT,,0,0,,0.0,,,5.0
2017-03-26,2017,gent-wevelgem,gc,Israel Cycling Academy,1.UWT,,0,0,,0.0,,,0.0
2017-09-26,2017,giro-di-toscana,gc,Israel Cycling Academy,2.1,,0,0,,3.0,,,3.0
2017-10-01,2017,gp-bruno-beghelli,gc,Israel Cycling Academy,1.HC,,0,0,,0.0,,,13.0
2017-09-28,2017,gp-citta-di-peccioli,gc,Israel Cycling Academy,1.1,,0,0,,0.0,,,10.0
2017-04-13,2017,gp-de-denain,gc,Israel Cycling Academy,1.HC,,,1,,0.0,,,5.0
2017-05-07,2017,gp-lugano,gc,Israel Cycling Academy,1.HC,,,1,,0.0,,,135.0
2017-09-10,2017,gp-montreal,gc,Israel Cycling Academy,1.UWT,,0,0,,0.0,,,15.0
2017-09-08,2017,gp-quebec,gc,Israel Cycling Academy,1.UWT,,0,0,,0.0,,,20.0
2017-03-01,2017,gp-samyn,gc,Israel Cycling Academy,1.1,,0,0,,0.0,,,3.0
