date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-08-27,2017,1st-ljubljana-zagreb,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-05-07,2017,circuito-del-porto-trofeo-arvedi,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-08-05,2017,european-championships-mu,gc,WSA-Greenlife,CC,,0.0,0,,0.0,,,0.0
2017-04-09,2017,giro-dell-appennino,gc,WSA-Greenlife,1.1,,0.0,0,,0.0,,,0.0
2017-04-02,2017,gp-adria-mobil,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-05-25,2017,gp-cycliste-de-gemenc,gc,WSA-Greenlife,2.2,,,1,,25.0,,,26.0
2017-09-16,2017,gp-czech-republic,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-08-13,2017,gp-di-poggiana,gc,WSA-Greenlife,1.2U,,,1,,0.0,,,0.0
2017-02-26,2017,gp-izola-butan-plin,gc,WSA-Greenlife,1.2,,,1,,0.0,,,0.0
2017-07-30,2017,gp-kranj,gc,WSA-Greenlife,1.2,,,1,,0.0,,,13.0
2017-02-19,2017,gp-laguna,gc,WSA-Greenlife,1.2,,,1,,0.0,,,0.0
2017-09-10,2017,int-raiffeisen-gp-judendorf-strassengel,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-03-09,2017,istrian-spring-tour,gc,WSA-Greenlife,2.2,,0.0,0,,0.0,,,0.0
2017-06-23,2017,nc-austria-itt,gc,WSA-Greenlife,NC,,0.0,0,,0.0,,,3.0
2017-06-25,2017,nc-austria2,gc,WSA-Greenlife,NC,,0.0,0,,0.0,,,0.0
2017-06-25,2017,nc-germany,gc,WSA-Greenlife,NC,,0.0,0,,0.0,,,0.0
2017-08-31,2017,okolo-jiznich-cech,gc,WSA-Greenlife,2.2,,0.0,0,,0.0,,,0.0
2017-06-07,2017,okolo-slovenska,gc,WSA-Greenlife,2.1,,0.0,0,,25.0,,,25.0
2017-03-04,2017,porec-trophy,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-08-25,2017,pro-otztaler-5500,gc,WSA-Greenlife,1.1,,0.0,0,,0.0,,,3.0
2017-09-26,2017,ruota-d-oro-gp-festa-del-perdono,gc,WSA-Greenlife,1.2U,,0.0,0,,0.0,,,0.0
2017-07-02,2017,tour-of-austria,gc,WSA-Greenlife,2.1,,0.0,0,,0.0,,,0.0
2017-06-02,2017,tour-of-bihor-bellotto,gc,WSA-Greenlife,2.2,,0.0,0,,10.0,,,10.0
2017-08-09,2017,tour-of-szeklerland,gc,WSA-Greenlife,2.2,,0.0,0,,3.0,,,4.0
2017-05-17,2017,tour-of-ukraine,gc,WSA-Greenlife,2.2,,0.0,0,,0.0,,,0.0
2017-04-08,2017,trofeo-edil-c-u23,gc,WSA-Greenlife,1.2U,,,1,,0.0,,,0.0
2017-04-22,2017,visegrad-4-bicycle-race-gp-hungary,gc,WSA-Greenlife,1.2,,,1,,0.0,,,0.0
2017-09-17,2017,visegrad-4-bicycle-race-gp-polski-via-odra,gc,WSA-Greenlife,1.2,,0.0,0,,0.0,,,0.0
2017-04-23,2017,visegrad-4-bicycle-race-gp-slovakia,gc,WSA-Greenlife,1.2,,,1,,0.0,,,10.0
