date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-06-15,2021,adriatica-ionica-race,gc,Italy,2.1,,0,0,,0.0,,,28.0
2021-10-11,2021,coppa-agostoni,gc,Italy,1.1,,0,0,,0.0,,,3.0
2021-06-03,2021,giro-ciclistico-d-italia,gc,#inEmiliaRomagna Cycling Team,2.2,96.0,0.0,1,,0.0,,,7.0
2021-07-04,2021,giro-del-medio-brenta,gc,#inEmiliaRomagna Cycling Team,1.2,,,1,,0.0,,,0.0
2021-07-04,2021,giro-del-medio-brenta,gc,Italy,1.2,,0,0,,0.0,,,0.0
2021-10-13,2021,giro-del-veneto,gc,Italy,1.1,,0,0,,0.0,,,70.0
2021-06-24,2021,giro-dell-appennino,gc,Italy,1.1,,0,0,,0.0,,,15.0
2021-09-15,2021,giro-di-toscana,gc,Italy,1.1,,0,0,,0.0,,,85.0
2021-09-16,2021,gp-citta-di-peccioli,gc,Italy,1.Pro,,0,0,,0.0,,,108.0
2021-03-07,2021,gp-industria-artigianato,gc,Italy,1.Pro,,0,0,,0.0,,,0.0
2021-09-18,2021,memorial-marco-pantani,gc,Italy,1.1,,,1,,0.0,,,43.0
2021-07-24,2021,olympic-games,gc,Italy,Olympics,,0,0,,0.0,,,108.0
2021-07-28,2021,olympic-games-itt,gc,Italy,Olympics,,0,0,,0.0,,,165.0
2021-03-21,2021,per-sempre-alfredo,gc,Italy,1.1,,0,0,,0.0,,,150.0
2021-07-14,2021,settimana-ciclistica-italiana,gc,Italy,2.1,,0,0,,0.0,,,5.0
2021-09-19,2021,trofeo-matteotti,gc,Italy,1.1,,,1,,0.0,,,45.0
2021-09-09,2021,uec-road-european-championships-itt,gc,Italy,CC,,0,0,,0.0,,,75.0
2021-09-12,2021,uec-road-european-championships-me,gc,Italy,CC,,0,0,,0.0,,,400.0
2021-10-17,2021,veneto-classic,gc,Italy,1.1,,0,0,,0.0,,,35.0
2021-09-26,2021,world-championship,gc,Italy,WC,,0,0,,0.0,,,163.0
2021-09-19,2021,world-championship-itt,gc,Italy,WC,,0,0,,0.0,,,410.0
2022-09-02,2022,giro-della-regione-friuli-venezia-giulia,gc,#inEmiliaRomagna Cycling Team,2.2,43.0,0.0,1,,0.0,,,0.0
2022-03-20,2022,popolarissima,gc,#inEmiliaRomagna Cycling Team,1.2,,,1,,0.0,,,0.0
2022-07-05,2022,trofeo-citta-di-brescia,gc,#inEmiliaRomagna Cycling Team,1.2,,,1,,0.0,,,5.0
2023-06-07,2023,aziz-shusha,gc,Team Technipes #inEmiliaRomagna,2.2,,0,0,,48.0,,,69.0
2023-04-06,2023,circuit-des-ardennes,gc,Italy,2.2,,0,0,,0.0,,,1.0
2023-05-01,2023,circuito-del-porto-trofeo-arvedi,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-10-03,2023,coppa-citta-di-san-daniele2,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-05-27,2023,due-giorni-marchigiana-gp-santa-rita,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,33.0
2023-06-02,2023,giro-dell-appennino,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,3.0
2023-09-30,2023,giro-dell-emilia,gc,Team Technipes #inEmiliaRomagna,1.Pro,,0,0,,0.0,,,0.0
2023-08-31,2023,giro-della-regione-friuli-venezia-giulia,gc,Team Technipes #inEmiliaRomagna,2.2,,0,0,,0.0,,,1.0
2023-04-16,2023,giro-di-reggio-calabria,gc,Italy,1.1,,0,0,,0.0,,,38.0
2023-04-16,2023,giro-di-reggio-calabria,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,3.0
2023-04-11,2023,giro-di-sicilia,gc,Italy,2.1,,0,0,,0.0,,,3.0
2023-04-11,2023,giro-di-sicilia,gc,Team Technipes #inEmiliaRomagna,2.1,,0,0,,3.0,,,3.0
2023-09-14,2023,gp-citta-di-peccioli,gc,Team Technipes #inEmiliaRomagna,1.Pro,,0,0,,0.0,,,0.0
2023-03-26,2023,gp-industria-artigianato,gc,Team Technipes #inEmiliaRomagna,1.Pro,,,1,,0.0,,,0.0
2023-03-09,2023,istrian-spring-tour,gc,Team Technipes #inEmiliaRomagna,2.2,,0,0,,5.0,,,5.0
2023-07-28,2023,kreiz-breizh-elites,gc,Italy,2.2,,0,0,,5.0,,,5.0
2023-04-25,2023,le-tour-de-bretagne,gc,Italy,2.2,65.0,0.0,1,,3.0,,,4.0
2023-09-16,2023,memorial-marco-pantani,gc,Italy,1.1,,0,0,,0.0,,,0.0
2023-09-16,2023,memorial-marco-pantani,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,0.0
2023-06-24,2023,nc-italy,gc,Team Technipes #inEmiliaRomagna,NC,,0,0,,0.0,,,0.0
2023-03-19,2023,per-sempre-alfredo,gc,Team Technipes #inEmiliaRomagna,1.1,,,1,,0.0,,,5.0
2023-03-19,2023,popolarissima,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-03-05,2023,porec-trophy,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-03-21,2023,settimana-internazionale-coppi-e-bartali,gc,Team Technipes #inEmiliaRomagna,2.1,,,1,,0.0,,,0.0
2023-07-06,2023,sibiu-cycling-tour,gc,Team Technipes #inEmiliaRomagna,2.1,46.0,0.0,1,,3.0,,,3.0
2023-05-04,2023,tour-de-catamarca-internacional,gc,Italy,2.2,,0,0,,0.0,,,14.0
2023-03-01,2023,trofej-umag,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-05-28,2023,trofeo-citta-di-castelfidardo,gc,Team Technipes #inEmiliaRomagna,1.2,,0,0,,0.0,,,0.0
2023-03-01,2023,trofeo-laigueglia,gc,Team Technipes #inEmiliaRomagna,1.Pro,,,1,,0.0,,,0.0
2023-09-17,2023,trofeo-matteotti,gc,Italy,1.1,,0,0,,0.0,,,88.0
2023-09-17,2023,trofeo-matteotti,gc,Team Technipes #inEmiliaRomagna,1.1,,0,0,,0.0,,,0.0
2023-09-20,2023,uec-road-european-championships-itt,gc,Italy,CC,,0,0,,0.0,,,25.0
2023-09-24,2023,uec-road-european-championships-me,gc,Italy,CC,,0,0,,0.0,,,30.0
2023-05-11,2023,vuelta-a-formosa-internacional,gc,Italy,2.2,,0,0,,18.0,,,24.0
2023-01-22,2023,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Italy,2.Pro,,0,0,,0.0,,,0.0
2023-08-06,2023,world-championship,gc,Italy,WC,,0,0,,0.0,,,240.0
2023-08-11,2023,world-championship-itt,gc,Italy,WC,,0,0,,0.0,,,415.0
