date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-05-14,2023,albani-classic-fyen-rundt,gc,ARA | Skip Capital,1.2,,,1,,0.0,,,0.0
2023-05-21,2023,antwerp-port-epic,gc,ARA | Skip Capital,1.1,,,1,,0.0,,,3.0
2023-04-15,2023,arno-wallaard-memorial,gc,ARA | Skip Capital,1.2,,0,0,,0.0,,,0.0
2023-05-18,2023,circuit-de-wallonie,gc,ARA | Skip Capital,1.1,,,1,,0.0,,,3.0
2023-05-07,2023,fleche-ardennaise,gc,ARA | Skip Capital,1.2,,0,0,,0.0,,,0.0
2023-05-13,2023,gp-herning,gc,ARA | Skip Capital,1.2,,,1,,0.0,,,0.0
2023-05-27,2023,grote-prijs-marcel-kint,gc,ARA | Skip Capital,1.1,,,1,,0.0,,,0.0
2023-04-25,2023,le-tour-de-bretagne,gc,ARA | Skip Capital,2.2,,0,0,,0.0,,,1.0
2023-01-08,2023,nc-australia,gc,ARA | Skip Capital,NC,,0,0,,0.0,,,40.0
2023-01-10,2023,nc-australia-itt,gc,ARA | Skip Capital,NC,,0,0,,0.0,,,0.0
2023-04-01,2023,oceania-championships,gc,ARA | Skip Capital,CC,,,1,,0.0,,,440.0
2023-10-01,2023,oita-urban-classic,gc,ARA | Skip Capital,1.2,,0,0,,0.0,,,30.0
2023-06-01,2023,ronde-de-l-oise,gc,ARA | Skip Capital,2.2,46.0,0.0,1,,0.0,,,0.0
2023-05-29,2023,ronde-van-limburg,gc,ARA | Skip Capital,1.1,,,1,,0.0,,,0.0
2023-05-06,2023,ronde-van-overijssel,gc,ARA | Skip Capital,1.2,,,1,,0.0,,,3.0
2023-10-22,2023,sun-hung-kai-properties-hong-kong-challenge,gc,ARA | Skip Capital,1.1,,0,0,,0.0,,,100.0
2023-06-09,2023,tour-d-eure-et-loir,gc,ARA | Skip Capital,2.2,,,1,,0.0,,,0.0
2023-10-07,2023,tour-de-kyushu,gc,ARA | Skip Capital,2.1,,0,0,,73.0,,,87.0
2023-09-23,2023,tour-of-binzhou,gc,ARA | Skip Capital,2.2,,0,0,,28.0,,,28.0
2023-09-08,2023,tour-of-poyang-lake,gc,ARA | Skip Capital,2.2,,,1,,0.0,,,11.0
2023-10-14,2023,trans-himalaya-cycling-race,gc,ARA | Skip Capital,2.2,,0,0,,30.0,,,31.0
2024-04-04,2024,circuit-des-ardennes,gc,ARA | Skip Capital,2.2,73.0,0.0,1,,0.0,,,0.0
2024-05-05,2024,circuit-des-xi-villes,gc,ARA | Skip Capital,1.1,,0,0,,0.0,,,0.0
2024-07-11,2024,gp-int-torres-vedras,gc,ARA | Skip Capital,2.2,,0,0,,0.0,,,0.0
2024-01-28,2024,great-ocean-road-race,gc,ARA | Skip Capital,1.UWT,,0,0,,0.0,,,10.0
2024-04-25,2024,le-tour-de-bretagne,gc,ARA | Skip Capital,2.2,92.0,0.0,1,,0.0,,,-10.0
