date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-08-08,2018,uec-road-european-championships-itt,gc,Italy,CC,,0,0,,0.0,,,0.0
2018-08-12,2018,uec-road-european-championships-me,gc,Italy,CC,,0,0,,0.0,,,380.0
2018-01-21,2018,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Italy,2.1,,0,0,,0.0,,,0.0
2018-09-30,2018,world-championship,gc,Italy,WC,,0,0,,0.0,,,330.0
2018-09-26,2018,world-championship-itt,gc,Italy,WC,,0,0,,0.0,,,0.0
2019-09-01,2019,1st-ljubljana-zagreb,gc,Cycling Team Friuli,1.2,,,1,,0.0,,,0.0
2019-07-25,2019,adriatica-ionica-race,gc,Cycling Team Friuli,2.1,,,1,,3.0,,,3.0
2019-07-14,2019,giro-del-medio-brenta,gc,Cycling Team Friuli,1.2,,,1,,0.0,,,10.0
2019-04-28,2019,giro-dell-appennino,gc,Cycling Team Friuli,1.1,,,1,,0.0,,,5.0
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,Cycling Team Friuli,2.2,,0,0,,30.0,,,30.0
2019-04-07,2019,gp-adria-mobil,gc,Cycling Team Friuli,1.2,,0,0,,0.0,,,0.0
2019-02-24,2019,gp-izola-butan-plin,gc,Cycling Team Friuli,1.2,,,1,,0.0,,,0.0
2019-08-04,2019,gp-kranj,gc,Cycling Team Friuli,1.2,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-italy,gc,Cycling Team Friuli,NC,,0,0,,0.0,,,0.0
2019-03-17,2019,popolarissima,gc,Cycling Team Friuli,1.2,,0,0,,0.0,,,40.0
2019-07-03,2019,sibiu-cycling-tour,gc,Cycling Team Friuli,2.1,,0,0,,30.0,,,30.0
2019-06-07,2019,tour-of-bihor-bellotto,gc,Cycling Team Friuli,2.1,33.0,0.0,1,,40.0,,,40.0
2019-02-17,2019,trofeo-laigueglia,gc,Cycling Team Friuli,1.HC,,,1,,0.0,,,3.0
2019-09-11,2019,turul-romaniei,gc,Cycling Team Friuli,2.1,,0,0,,31.0,,,36.0
2020-02-05,2020,etoile-de-besseges,gc,Beltrami TSA Marchiol,2.1,72.0,0.0,1,,0.0,,,0.0
2020-08-18,2020,giro-dell-emilia,gc,Beltrami TSA Marchiol,1.Pro,,,1,,0.0,,,0.0
2020-08-03,2020,gran-trittico-lombardo,gc,Beltrami TSA Marchiol,1.Pro,,,1,,0.0,,,0.0
2020-08-30,2020,memorial-marco-pantani,gc,Beltrami TSA Marchiol,1.1,,0,0,,0.0,,,0.0
2020-08-23,2020,nc-italy,gc,Beltrami TSA Marchiol,NC,,0,0,,0.0,,,0.0
2020-08-22,2020,nc-slovakia,gc,Beltrami TSA Marchiol,NC,,0,0,,0.0,,,30.0
2020-02-16,2020,trofeo-laigueglia,gc,Beltrami TSA Marchiol,1.Pro,,,1,,0.0,,,3.0
2020-08-29,2020,trofeo-matteotti,gc,Beltrami TSA Marchiol,1.1,,0,0,,0.0,,,0.0
