date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-05-20,2017,berner-rundfahrt-tour-de-berne,gc,Roth-Akros,1.2,,0,0,,0.0,,,0.0
2017-06-01,2017,boucles-de-la-mayenne,gc,Roth-Akros,2.1,78.0,0.0,1,,3.0,,,3.0
2017-04-07,2017,circuit-des-ardennes,gc,Roth-Akros,2.2,13.0,0.0,1,,0.0,,,0.0
2017-09-13,2017,coppa-agostoni,gc,Switzerland,1.1,,0,0,,0.0,,,128.0
2017-09-14,2017,coppa-bernocchi,gc,Switzerland,1.1,,0,0,,0.0,,,63.0
2017-05-01,2017,eschborn-frankfurt-u23,gc,Roth-Akros,1.2U,,0,0,,0.0,,,0.0
2017-02-01,2017,etoile-de-besseges,gc,Roth-Akros,2.1,15.0,5.0,1,,5.0,,,5.0
2017-10-11,2017,famenne-ardenne-classic,gc,Roth-Akros,1.1,,,1,,0.0,,,60.0
2017-05-24,2017,fleche-du-sud,gc,Switzerland,2.2,,0,0,,0.0,,,0.0
2017-01-29,2017,gp-d-ouverture,gc,Roth-Akros,1.1,,,1,,0.0,,,3.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,Roth-Akros,1.HC,,,1,,0.0,,,10.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,Switzerland,1.HC,,0,0,,0.0,,,8.0
2017-05-07,2017,gp-lugano,gc,Roth-Akros,1.HC,,0,0,,0.0,,,3.0
2017-05-07,2017,gp-lugano,gc,Switzerland,1.HC,,0,0,,0.0,,,9.0
2017-03-09,2017,istrian-spring-tour,gc,Switzerland,2.2,,0,0,,25.0,,,32.0
2017-04-02,2017,la-roue-tourangelle,gc,Roth-Akros,1.1,,,1,,0.0,,,0.0
2017-04-25,2017,le-tour-de-bretagne,gc,Roth-Akros,2.2,,,1,,0.0,,,0.0
2017-09-16,2017,memorial-marco-pantani,gc,Roth-Akros,1.1,,,1,,0.0,,,3.0
2017-06-25,2017,nc-switserland,gc,Roth-Akros,NC,,,1,,0.0,,,30.0
2017-06-22,2017,nc-switzerland-itt,gc,Roth-Akros,NC,,,1,,0.0,,,4.0
2017-08-31,2017,okolo-jiznich-cech,gc,Switzerland,2.2,,0,0,,0.0,,,1.0
2017-10-05,2017,paris-bourges,gc,Roth-Akros,1.1,,,1,,0.0,,,6.0
2017-08-25,2017,pro-otztaler-5500,gc,Roth-Akros,1.1,,,1,,0.0,,,0.0
2017-03-05,2017,rhodes-gp,gc,Roth-Akros,1.2,,,1,,0.0,,,10.0
2017-03-31,2017,route-adelie-de-vitre,gc,Roth-Akros,1.1,,,1,,0.0,,,3.0
2017-06-11,2017,rund-um-koln,gc,Switzerland,1.1,,,1,,0.0,,,6.0
2017-07-05,2017,sibiu-cycling-tour,gc,Roth-Akros,2.1,14.0,5.0,1,,160.0,,,170.0
2017-07-26,2017,tour-alsace,gc,Roth-Akros,2.2,43.0,0.0,1,,3.0,,,3.0
2017-07-26,2017,tour-alsace,gc,Switzerland,2.2,,0,0,,0.0,,,0.0
2017-02-21,2017,tour-cycliste-international-la-provence,gc,Roth-Akros,2.1,18.0,3.0,1,,3.0,,,3.0
2017-08-08,2017,tour-de-l-ain,gc,Roth-Akros,2.1,57.0,0.0,1,,0.0,,,0.0
2017-02-18,2017,tour-des-alpes-maritimes,gc,Roth-Akros,2.1,41.0,0.0,1,,0.0,,,0.0
2017-06-15,2017,tour-des-pays-de-savoie,gc,Roth-Akros,2.2,42.0,0.0,1,,15.0,,,16.0
2017-09-10,2017,tour-du-doubs,gc,Roth-Akros,1.1,,,1,,0.0,,,0.0
2017-09-10,2017,tour-du-doubs,gc,Switzerland,1.1,,0,0,,0.0,,,3.0
2017-09-23,2017,tour-du-gevaudan-languedoc-roussillon,gc,Roth-Akros,2.2,13.0,0.0,1,,3.0,,,6.0
2017-09-09,2017,tour-du-jura,gc,Roth-Akros,1.2,,,1,,0.0,,,0.0
2017-05-27,2017,tour-du-jura-cycliste,gc,Roth-Akros,2.2,37.0,0.0,1,,0.0,,,0.0
2017-09-30,2017,tour-of-almaty,gc,Roth-Akros,2.1,12.0,10.0,1,,110.0,,,113.0
2017-04-18,2017,tour-of-croatia,gc,Roth-Akros,2.1,16.0,3.0,1,,6.0,,,6.0
2017-10-28,2017,tour-of-hainan,gc,Switzerland,2.HC,,0,0,,68.0,,,73.0
2017-03-10,2017,tour-of-rhodes,gc,Roth-Akros,2.2,9.0,3.0,1,,43.0,,,50.0
2017-03-01,2017,trofej-umag,gc,Switzerland,1.2,,0,0,,0.0,,,0.0
2017-08-06,2017,uec-road-european-championships-me,gc,Switzerland,CC,,,1,,0.0,,,0.0
