date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2022-04-16,2022,arno-wallaard-memorial,gc,John Deere Cycling Team - NWVG,1.2,,0.0,0,,0.0,,,0.0
2022-06-19,2022,midden-brabant-poort-omloop,gc,John Deere Cycling Team - NWVG,1.2,,,1,,0.0,,,0.0
2022-08-28,2022,ronde-van-de-achterhoek,gc,John Deere Cycling Team - NWVG,1.2,,,1,,0.0,,,0.0
2022-05-07,2022,ronde-van-overijssel,gc,John Deere Cycling Team - NWVG,1.2,,,1,,0.0,,,0.0
2022-04-30,2022,zodc-zuidenveld-tour,gc,John Deere Cycling Team - NWVG,1.2,,,1,,0.0,,,0.0
2023-04-15,2023,arno-wallaard-memorial,gc,Kuil Groenoord Cycling Team - NWVG,1.2,,0.0,0,,0.0,,,0.0
2023-10-15,2023,chrono-des-nations,gc,Netherlands,1.1,,0.0,0,,0.0,,,3.0
2023-03-12,2023,dorpenomloop-rucphen,gc,Kuil Groenoord Cycling Team - NWVG,1.2,,0.0,0,,0.0,,,0.0
2023-07-02,2023,midden-brabant-poort-omloop,gc,Kuil Groenoord Cycling Team - NWVG,1.2,,0.0,0,,0.0,,,0.0
2023-06-25,2023,nc-ireland,gc,Kuil Groenoord Cycling Team - NWVG,NC,,0.0,0,,0.0,,,0.0
2023-06-21,2023,nc-netherlands-itt,gc,Kuil Groenoord Cycling Team - NWVG,NC,,0.0,0,,0.0,,,0.0
2023-09-07,2023,okolo-jiznich-cech,gc,Kuil Groenoord Cycling Team - NWVG,2.2,,0.0,0,,0.0,,,0.0
2023-03-22,2023,olympias-tour,gc,Kuil Groenoord Cycling Team - NWVG,2.2,,,1,,0.0,,,0.0
2023-05-29,2023,paris-troyes,gc,Netherlands,1.2,,0.0,0,,0.0,,,-2.0
2023-08-27,2023,ronde-van-de-achterhoek,gc,Kuil Groenoord Cycling Team - NWVG,1.2,,0.0,0,,0.0,,,0.0
2023-03-12,2023,ronde-van-drenthe,gc,Netherlands,1.1,,,1,,0.0,,,0.0
2023-05-06,2023,ronde-van-overijssel,gc,Kuil Groenoord Cycling Team - NWVG,1.2,,0.0,0,,0.0,,,0.0
2023-03-04,2023,ster-van-zwolle,gc,Kuil Groenoord Cycling Team - NWVG,1.2,,,1,,0.0,,,0.0
2023-05-26,2023,tour-de-la-mirabelle,gc,Netherlands,2.2,,0.0,0,,0.0,,,7.0
2023-10-08,2023,tour-of-turkey,gc,Netherlands,2.1,,0.0,0,,0.0,,,0.0
2023-09-20,2023,uec-road-european-championships-itt,gc,Netherlands,CC,,0.0,0,,0.0,,,18.0
2023-09-24,2023,uec-road-european-championships-me,gc,Netherlands,CC,,0.0,0,,0.0,,,260.0
2023-08-06,2023,world-championship,gc,Netherlands,WC,,0.0,0,,0.0,,,1020.0
2023-08-11,2023,world-championship-itt,gc,Netherlands,WC,,0.0,0,,0.0,,,0.0
