date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-23,2017,abu-dhabi-tour,gc,UAE Team Emirates,2.UWT,,0,0,,360.0,,,400.0
2017-04-16,2017,amstel-gold-race,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,60.0
2017-08-27,2017,bretagne-classic,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,128.0
2017-09-02,2017,brussels-cycling-classic,gc,UAE Team Emirates,1.HC,,,1,,0.0,,,155.0
2017-03-28,2017,classic-brugge-de-panne,gc,UAE Team Emirates,2.HC,,,1,,45.0,,,50.0
2017-08-10,2017,colorado-classic,gc,UAE Team Emirates,2.HC,,0,0,,100.0,,,100.0
2017-09-14,2017,coppa-bernocchi,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,110.0
2017-08-20,2017,cyclassics-hamburg,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,152.0
2017-01-31,2017,dubai-tour,gc,UAE Team Emirates,2.HC,,0,0,,40.0,,,40.0
2017-03-22,2017,dwars-door-vlaanderen,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,25.0
2017-03-24,2017,e3-harelbeke,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,16.0
2017-05-01,2017,eschborn-frankfurt,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,55.0
2017-08-05,2017,european-championships-mu,gc,UAE Team Emirates,CC,,0,0,,0.0,,,0.0
2017-03-26,2017,gent-wevelgem,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,105.0
2017-05-05,2017,giro-d-italia,gc,UAE Team Emirates,2.UWT,,0,0,,168.0,0.0,0.0,444.0
2017-05-05,2017,giro-d-italia,kom,UAE Team Emirates,2.UWT,,0,0,,168.0,0.0,0.0,444.0
2017-05-05,2017,giro-d-italia,points,UAE Team Emirates,2.UWT,,0,0,,168.0,0.0,0.0,444.0
2017-09-30,2017,giro-dell-emilia,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,71.0
2017-09-26,2017,giro-di-toscana,gc,UAE Team Emirates,2.1,60.0,0.0,1,,3.0,,,3.0
2017-10-01,2017,gp-bruno-beghelli,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,70.0
2017-09-28,2017,gp-citta-di-peccioli,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,60.0
2017-02-05,2017,gp-costa-degli-etruschi,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,145.0
2017-09-03,2017,gp-de-fourmies,gc,UAE Team Emirates,1.HC,,,1,,0.0,,,85.0
2017-08-13,2017,gp-di-poggiana,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,1.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,UAE Team Emirates,1.HC,,,1,,0.0,,,203.0
2017-03-05,2017,gp-industria-artigianato,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,33.0
2017-02-26,2017,gp-izola-butan-plin,gc,UAE Team Emirates,1.2,,,1,,0.0,,,30.0
2017-05-07,2017,gp-lugano,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,65.0
2017-09-10,2017,gp-montreal,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,513.0
2017-09-08,2017,gp-quebec,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,93.0
2017-10-07,2017,il-lombardia,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,50.0
2017-04-03,2017,itzulia-basque-country,gc,UAE Team Emirates,2.UWT,,0,0,,156.0,,,156.0
2017-04-19,2017,la-fleche-wallonne,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,88.0
2017-04-23,2017,liege-bastogne-liege,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,80.0
2017-03-18,2017,milano-sanremo,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,43.0
2017-10-05,2017,milano-torino,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,8.0
2017-02-26,2017,nc-colombia,gc,UAE Team Emirates,NC,,0,0,,0.0,,,30.0
2017-06-25,2017,nc-italy,gc,UAE Team Emirates,NC,,0,0,,0.0,,,55.0
2017-06-23,2017,nc-italy-itt,gc,UAE Team Emirates,NC,,0,0,,0.0,,,1.0
2017-06-25,2017,nc-poland,gc,UAE Team Emirates,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-slovenia,gc,UAE Team Emirates,NC,,0,0,,0.0,,,55.0
2017-06-09,2017,nc-slovenia-itt,gc,UAE Team Emirates,NC,,0,0,,0.0,,,30.0
2017-04-09,2017,nc-united-arab-emirates,gc,UAE Team Emirates,NC,,0,0,,0.0,,,30.0
2017-04-01,2017,nc-united-arab-emirates-itt,gc,UAE Team Emirates,NC,,0,0,,0.0,,,15.0
2017-06-25,2017,ncgreat-britain,gc,UAE Team Emirates,NC,,0,0,,0.0,,,25.0
2017-03-05,2017,paris-nice,gc,UAE Team Emirates,2.UWT,,0,0,,25.0,,,25.0
2017-04-09,2017,paris-roubaix,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,20.0
2017-10-01,2017,piccolo-giro-di-lombardia,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,0.0
2017-08-07,2017,renewi-tour,gc,UAE Team Emirates,2.UWT,,,1,,8.0,,,28.0
2017-07-30,2017,ride-london-classic,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,30.0
2017-04-02,2017,ronde-van-vlaanderen,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,185.0
2017-09-26,2017,ruota-d-oro-gp-festa-del-perdono,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,0.0
2017-07-29,2017,san-sebastian,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,42.0
2017-03-04,2017,strade-bianche,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,25.0
2017-10-08,2017,sun-hung-kai-properties-hong-kong-challenge,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,143.0
2017-03-09,2017,tirreno-adriatico,gc,UAE Team Emirates,2.UWT,146.0,0.0,1,,40.0,,,40.0
2017-06-04,2017,tour-auvergne-rhone-alpes,gc,UAE Team Emirates,2.UWT,,0,0,,165.0,,,210.0
2017-02-21,2017,tour-cycliste-international-la-provence,gc,UAE Team Emirates,2.1,,0,0,,6.0,,,6.0
2017-07-01,2017,tour-de-france,gc,UAE Team Emirates,2.UWT,,0,0,,340.0,0.0,0.0,445.0
2017-07-01,2017,tour-de-france,kom,UAE Team Emirates,2.UWT,,0,0,,340.0,0.0,0.0,445.0
2017-07-01,2017,tour-de-france,points,UAE Team Emirates,2.UWT,,0,0,,340.0,0.0,0.0,445.0
2017-07-29,2017,tour-de-pologne,gc,UAE Team Emirates,2.UWT,,0,0,,94.0,,,144.0
2017-04-25,2017,tour-de-romandie,gc,UAE Team Emirates,2.UWT,,0,0,,93.0,,,118.0
2017-06-10,2017,tour-de-suisse,gc,UAE Team Emirates,2.UWT,,,1,,308.0,,,358.0
2017-01-17,2017,tour-down-under,gc,UAE Team Emirates,2.UWT,109.0,0.0,1,,238.0,,,248.0
2017-05-14,2017,tour-of-california,gc,UAE Team Emirates,2.UWT,107.0,0.0,1,,117.0,,,123.0
2017-04-18,2017,tour-of-croatia,gc,UAE Team Emirates,2.1,,0,0,,50.0,,,83.0
2017-10-19,2017,tour-of-guangxi,gc,UAE Team Emirates,2.UWT,,0,0,,145.0,,,145.0
2017-02-14,2017,tour-of-oman,gc,UAE Team Emirates,2.HC,70.0,0.0,1,,155.0,,,185.0
2017-06-15,2017,tour-of-slovenia,gc,Slovenia,2.1,,0,0,,0.0,,,0.0
2017-06-15,2017,tour-of-slovenia,gc,UAE Team Emirates,2.1,,0,0,,25.0,,,30.0
2017-10-10,2017,tour-of-turkey,gc,UAE Team Emirates,2.UWT,73.0,0.0,1,,402.0,,,454.0
2017-10-03,2017,tre-valli-varesine,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,105.0
2017-02-12,2017,trofeo-laigueglia,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,61.0
2017-08-06,2017,uec-road-european-championships-me,gc,Slovenia,CC,,,1,,0.0,,,105.0
2017-03-20,2017,volta-a-catalunya,gc,UAE Team Emirates,2.UWT,,0,0,,48.0,,,48.0
2017-08-20,2017,vuelta-a-espana,gc,UAE Team Emirates,2.UWT,,0,0,,200.0,0.0,0.0,372.0
2017-08-20,2017,vuelta-a-espana,kom,UAE Team Emirates,2.UWT,,0,0,,200.0,0.0,0.0,372.0
2017-08-20,2017,vuelta-a-espana,points,UAE Team Emirates,2.UWT,,0,0,,200.0,0.0,0.0,372.0
2017-01-23,2017,vuelta-ciclista-a-la-provincia-de-san-juan,gc,UAE Team Emirates,2.1,,0,0,,50.0,,,69.0
2017-09-24,2017,world-championship,gc,Slovenia,WC,,0,0,,0.0,,,10.0
2017-09-20,2017,world-championship-itt,gc,Slovenia,WC,,0,0,,0.0,,,300.0
2018-03-04,2018,3daagse-van-west-vlaanderen,gc,CCC Sprandi Polkowice,1.1,,,1,,0.0,,,5.0
2018-09-02,2018,antwerp-port-epic,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,5.0
2018-05-16,2018,baltyk-karkonosze-tour,gc,CCC Sprandi Polkowice,2.2,,0,0,,63.0,,,80.0
2018-04-28,2018,banja-luka-belgrade-i,gc,Slovenia,2.1,,0,0,,3.0,,,3.0
2018-04-11,2018,brabantse-pijl,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,91.0
2018-03-16,2018,bredene-koksijde-classic,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,43.0
2018-09-01,2018,brussels-cycling-classic,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,40.0
2018-04-28,2018,carpathia-couriers-paths,gc,CCC Sprandi Polkowice,2.2U,,0,0,,0.0,,,0.0
2018-02-11,2018,clasica-de-almeria,gc,CCC Sprandi Polkowice,1.HC,,,1,,0.0,,,80.0
2018-03-21,2018,classic-brugge-de-panne,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,5.0
2018-02-06,2018,colombia-21,gc,CCC Sprandi Polkowice,2.1,,0,0,,0.0,,,0.0
2018-09-15,2018,coppa-agostoni,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,0.0
2018-09-16,2018,coppa-bernocchi,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,20.0
2018-08-19,2018,cyclassics-hamburg,gc,CCC Sprandi Polkowice,1.UWT,,,1,,0.0,,,48.0
2018-08-10,2018,czech-tour,gc,CCC Sprandi Polkowice,2.1,,0,0,,63.0,,,69.0
2018-07-25,2018,dookola-mazowsza,gc,CCC Sprandi Polkowice,2.2,,0,0,,58.0,,,80.0
2018-05-01,2018,eschborn-frankfurt,gc,CCC Sprandi Polkowice,1.UWT,,,1,,0.0,,,80.0
2018-04-22,2018,giro-dell-appennino,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,88.0
2018-03-18,2018,gp-de-denain,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,0.0
2018-03-04,2018,gp-industria-artigianato,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,5.0
2018-08-21,2018,gp-stad-zottegem,gc,CCC Sprandi Polkowice,1.1,,,1,,0.0,,,75.0
2018-02-18,2018,grand-prix-alanya,gc,CCC Sprandi Polkowice,1.2,,0,0,,0.0,,,15.0
2018-08-24,2018,great-war-remembrance-race,gc,CCC Sprandi Polkowice,1.1,,,1,,0.0,,,85.0
2018-06-17,2018,international-race-grand-prix-doliny-baryczy-milic,gc,CCC Sprandi Polkowice,1.2,,0,0,,0.0,,,65.0
2018-05-01,2018,memorial-andrzeja-trochanowskiego,gc,CCC Sprandi Polkowice,1.2,,0,0,,0.0,,,25.0
2018-06-16,2018,memorial-im-j.-grundmanna-j-wizowskiego,gc,CCC Sprandi Polkowice,1.2,,0,0,,0.0,,,63.0
2018-09-22,2018,memorial-marco-pantani,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,0.0
2018-05-02,2018,memorial-romana-sieminskiego,gc,CCC Sprandi Polkowice,1.2,,0,0,,0.0,,,55.0
2018-06-27,2018,mersin-mediterranean-games,gc,Slovenia,JR,,0,0,,0.0,,,0.0
2018-10-03,2018,munsterland-giro,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,50.0
2018-06-24,2018,nc-czech-republic2,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,1.0
2018-07-01,2018,nc-germany,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,30.0
2018-06-29,2018,nc-germany-itt,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-poland,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,76.0
2018-06-22,2018,nc-poland-itt,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,9.0
2018-06-24,2018,nc-portugal2,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,0.0
2018-06-24,2018,nc-slovenia,gc,CCC Sprandi Polkowice,NC,,,1,,0.0,,,50.0
2018-06-08,2018,nc-slovenia-itt,gc,CCC Sprandi Polkowice,NC,,0,0,,0.0,,,30.0
2018-03-14,2018,nokere-koerse,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,35.0
2018-09-12,2018,okolo-slovenska,gc,CCC Sprandi Polkowice,2.1,,0,0,,110.0,,,110.0
2018-07-29,2018,ride-london-classic,gc,CCC Sprandi Polkowice,1.UWT,,0,0,,0.0,,,82.0
2018-03-11,2018,ronde-van-drenthe,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,208.0
2018-06-10,2018,rund-um-koln,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,73.0
2018-02-14,2018,ruta-del-sol,gc,CCC Sprandi Polkowice,2.HC,124.0,0.0,1,,3.0,,,3.0
2018-08-26,2018,schaal-schels,gc,CCC Sprandi Polkowice,1.1,,,1,,0.0,,,25.0
2018-04-04,2018,scheldeprijs,gc,CCC Sprandi Polkowice,1.HC,,,1,,0.0,,,0.0
2018-07-05,2018,sibiu-cycling-tour,gc,CCC Sprandi Polkowice,2.1,,0,0,,60.0,,,60.0
2018-05-11,2018,szlakiem-grodow-piastowskich,gc,CCC Sprandi Polkowice,2.2,,0,0,,74.0,,,89.0
2018-06-01,2018,szlakiem-walk-majora-hubala,gc,CCC Sprandi Polkowice,2.1,,0,0,,233.0,,,244.0
2018-08-14,2018,tour-de-hongrie,gc,CCC Sprandi Polkowice,2.1,,0,0,,158.0,,,167.0
2018-03-18,2018,tour-de-langkawi,gc,CCC Sprandi Polkowice,2.HC,51.0,0.0,1,,180.0,,,180.0
2018-05-30,2018,tour-de-luxembourg,gc,CCC Sprandi Polkowice,2.HC,,0,0,,166.0,,,171.0
2018-08-04,2018,tour-de-pologne,gc,CCC Sprandi Polkowice,2.UWT,,0,0,,34.0,,,34.0
2018-05-22,2018,tour-des-fjords,gc,CCC Sprandi Polkowice,2.HC,,0,0,,28.0,,,28.0
2018-04-07,2018,tour-des-flandres-espoirs,gc,Slovenia,1.Ncup,,0,0,,0.0,,,0.0
2018-02-22,2018,tour-of-antalya,gc,CCC Sprandi Polkowice,2.2,,0,0,,0.0,,,1.0
2018-07-07,2018,tour-of-austria,gc,CCC Sprandi Polkowice,2.1,,,1,,8.0,,,13.0
2018-04-17,2018,tour-of-croatia,gc,CCC Sprandi Polkowice,2.HC,74.0,0.0,1,,8.0,,,23.0
2018-06-08,2018,tour-of-malopolska,gc,CCC Sprandi Polkowice,2.2,,0,0,,70.0,,,83.0
2018-05-16,2018,tour-of-norway,gc,CCC Sprandi Polkowice,2.HC,,0,0,,50.0,,,60.0
2018-06-13,2018,tour-of-slovenia,gc,CCC Sprandi Polkowice,2.1,109.0,0.0,1,,5.0,,,10.0
2018-06-13,2018,tour-of-slovenia,gc,Slovenia,2.1,,0,0,,0.0,,,0.0
2018-04-16,2018,tour-of-the-alps,gc,CCC Sprandi Polkowice,2.HC,,0,0,,10.0,,,10.0
2018-10-09,2018,tour-of-turkey,gc,CCC Sprandi Polkowice,2.UWT,,0,0,,22.0,,,22.0
2018-02-11,2018,trofeo-laigueglia,gc,CCC Sprandi Polkowice,1.HC,,0,0,,0.0,,,6.0
2018-09-23,2018,trofeo-matteotti,gc,CCC Sprandi Polkowice,1.1,,0,0,,0.0,,,33.0
2018-08-12,2018,uec-road-european-championships-me,gc,Slovenia,CC,,,1,,0.0,,,15.0
2018-08-22,2018,veenendaal-veenendaal,gc,CCC Sprandi Polkowice,1.1,,,1,,0.0,,,25.0
