date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-04-22,2021,banja-luka-belgrade-i,gc,Massi Vivo - Conecta,2.1,,0,0,,0.0,,,0.0
2021-08-01,2021,circuito-de-getxo,gc,Massi Vivo - Conecta,1.1,,0,0,,0.0,,,0.0
2021-05-02,2021,circuito-del-porto-trofeo-arvedi,gc,Massi Vivo - Conecta,1.2,,0,0,,0.0,,,0.0
2021-08-29,2021,gp-de-la-somme,gc,Massi Vivo - Conecta,1.2,,0,0,,0.0,,,0.0
2021-06-04,2021,gp-du-canton-d-argovie,gc,Massi Vivo - Conecta,1.1,,,1,,0.0,,,0.0
2021-09-19,2021,nc-paraguay,gc,Massi Vivo - Conecta,NC,,0,0,,0.0,,,10.0
2021-09-18,2021,nc-paraguay-itt,gc,Massi Vivo - Conecta,NC,,0,0,,0.0,,,5.0
2021-06-20,2021,nc-spain,gc,Massi Vivo - Conecta,NC,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-switserland,gc,Massi Vivo - Conecta,NC,,0,0,,0.0,,,0.0
2021-06-16,2021,nc-switzerland-itt,gc,Massi Vivo - Conecta,NC,,0,0,,0.0,,,1.0
2021-07-25,2021,prueba-villafranca,gc,Massi Vivo - Conecta,1.1,,0,0,,0.0,,,0.0
2021-09-05,2021,tour-du-doubs,gc,Massi Vivo - Conecta,1.1,,0,0,,0.0,,,0.0
2021-06-02,2021,trofeo-alcide-degasperi,gc,Massi Vivo - Conecta,1.2,,,1,,0.0,,,0.0
2021-07-29,2021,vuelta-a-castilla-y-leon,gc,Massi Vivo - Conecta,1.1,,,1,,0.0,,,0.0
2023-05-11,2023,vuelta-a-formosa-internacional,gc,SM Bikes Mosso Formosa,2.2,97.0,0.0,1,,0.0,,,0.0
