date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-05-05,2017,five-rings-of-moscow,gc,Russia,2.2,,0.0,0,,70.0,,,84.0
2017-05-24,2017,fleche-du-sud,gc,Russia,2.2,,0.0,0,,0.0,,,7.0
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Russia,2.2U,,0.0,0,,4.0,,,4.0
2017-04-09,2017,giro-dell-appennino,gc,Russia,1.1,,,1,,0.0,,,10.0
2017-06-07,2017,okolo-slovenska,gc,Russia,2.1,,0.0,0,,0.0,,,0.0
2017-03-26,2017,tour-de-taiwan,gc,Russia,2.1,,0.0,0,,3.0,,,3.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Russia,CC,,0.0,0,,0.0,,,0.0
2017-08-06,2017,uec-road-european-championships-me,gc,Russia,CC,,0.0,0,,0.0,,,10.0
2017-02-27,2017,vuelta-independencia-nacional,gc,Russia,2.2,,0.0,0,,0.0,,,1.0
2017-12-18,2017,vuelta-internacional-a-costa-rica,gc,Russia,2.2,,0.0,0,,0.0,,,0.0
2017-09-24,2017,world-championship,gc,Russia,WC,,0.0,0,,0.0,,,85.0
2017-09-20,2017,world-championship-itt,gc,Russia,WC,,0.0,0,,0.0,,,15.0
