date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-05,2017,3daagse-van-west-vlaanderen,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,3.0
2017-05-09,2017,4-jours-de-dunkerque,gc,"Cofidis, Solutions Crédits",2.HC,,0,0,,270.0,,,280.0
2017-08-10,2017,arctic-race-of-norway,gc,"Cofidis, Solutions Crédits",2.HC,,0,0,,5.0,,,30.0
2017-05-28,2017,boucles-de-l-aulne,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,33.0
2017-06-01,2017,boucles-de-la-mayenne,gc,"Cofidis, Solutions Crédits",2.1,,0,0,,75.0,,,86.0
2017-04-12,2017,brabantse-pijl,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,3.0
2017-08-27,2017,bretagne-classic,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,116.0
2017-09-02,2017,brussels-cycling-classic,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,3.0
2017-10-15,2017,chrono-des-nations,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,60.0
2017-10-01,2017,circuit-franco-belge,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,130.0
2017-02-12,2017,clasica-de-almeria,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,20.0
2017-03-18,2017,classic-loire-atlantique,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,70.0
2017-08-20,2017,cyclassics-hamburg,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,96.0
2017-01-27,2017,deia-trophy,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,5.0
2017-08-05,2017,dwars-door-het-hageland,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,120.0
2017-03-22,2017,dwars-door-vlaanderen,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,55.0
2017-02-01,2017,etoile-de-besseges,gc,"Cofidis, Solutions Crédits",2.1,,0,0,,40.0,,,43.0
2017-02-25,2017,faun-ardeche-classic,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,40.0
2017-05-07,2017,fleche-ardennaise,gc,"Cofidis, Solutions Crédits",1.2,,0,0,,0.0,,,0.0
2017-03-26,2017,gent-wevelgem,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,50.0
2017-09-30,2017,giro-dell-emilia,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,23.0
2017-10-01,2017,gp-bruno-beghelli,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,58.0
2017-09-17,2017,gp-d-isbergues,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,35.0
2017-01-29,2017,gp-d-ouverture,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,13.0
2017-04-13,2017,gp-de-denain,gc,"Cofidis, Solutions Crédits",1.HC,,,1,,0.0,,,150.0
2017-09-03,2017,gp-de-fourmies,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,200.0
2017-05-21,2017,gp-de-la-somme,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,53.0
2017-05-27,2017,gp-de-plumelec,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,53.0
2017-09-13,2017,gp-de-wallonie,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,75.0
2017-03-01,2017,gp-samyn,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,78.0
2017-06-21,2017,halle-ingooigem,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,15.0
2017-10-07,2017,il-lombardia,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,10.0
2017-04-03,2017,itzulia-basque-country,gc,"Cofidis, Solutions Crédits",2.UWT,,0,0,,26.0,,,26.0
2017-02-26,2017,kuurne-brussel-kuurne,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,3.0
2017-02-26,2017,la-drome-classic,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,13.0
2017-04-19,2017,la-fleche-wallonne,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,8.0
2017-07-30,2017,la-poly-normande,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,71.0
2017-04-02,2017,la-roue-tourangelle,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,105.0
2017-06-15,2017,la-route-d-occitanie,gc,"Cofidis, Solutions Crédits",2.1,,0,0,,6.0,,,11.0
2017-04-23,2017,liege-bastogne-liege,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,30.0
2017-10-03,2017,memorial-frank-vandenbroucke,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,15.0
2017-03-18,2017,milano-sanremo,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,160.0
2017-10-05,2017,milano-torino,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,5.0
2017-06-25,2017,nc-belgium,gc,"Cofidis, Solutions Crédits",NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-france,gc,"Cofidis, Solutions Crédits",NC,,0,0,,0.0,,,80.0
2017-06-22,2017,nc-france-itt,gc,"Cofidis, Solutions Crédits",NC,,0,0,,0.0,,,0.0
2017-03-15,2017,nokere-koerse,gc,"Cofidis, Solutions Crédits",1.HC,,,1,,0.0,,,200.0
2017-09-30,2017,omloop-eurometropool,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,3.0
2017-02-25,2017,omloop-het-nieuwsblad,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,5.0
2017-10-05,2017,paris-bourges,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,55.0
2017-04-11,2017,paris-camembert,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,125.0
2017-09-24,2017,paris-chauny-classique,gc,"Cofidis, Solutions Crédits",1.2,,0,0,,0.0,,,25.0
2017-03-05,2017,paris-nice,gc,"Cofidis, Solutions Crédits",2.UWT,,0,0,,10.0,,,10.0
2017-04-09,2017,paris-roubaix,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,100.0
2017-10-08,2017,paris-tours,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,5.0
2017-04-04,2017,region-pays-de-la-loire,gc,"Cofidis, Solutions Crédits",2.1,75.0,0.0,1,,60.0,,,73.0
2017-05-03,2017,rhone-alpes-isere-tour,gc,"Cofidis, Solutions Crédits",2.2,,,1,,15.0,,,16.0
2017-06-11,2017,ronde-van-limburg,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,118.0
2017-04-02,2017,ronde-van-vlaanderen,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,10.0
2017-03-31,2017,route-adelie-de-vitre,gc,"Cofidis, Solutions Crédits",1.1,,,1,,0.0,,,133.0
2017-02-15,2017,ruta-del-sol,gc,"Cofidis, Solutions Crédits",2.HC,,0,0,,3.0,,,8.0
2017-07-29,2017,san-sebastian,gc,"Cofidis, Solutions Crédits",1.UWT,,0,0,,0.0,,,24.0
2017-04-05,2017,scheldeprijs,gc,"Cofidis, Solutions Crédits",1.HC,,0,0,,0.0,,,160.0
2017-10-14,2017,tacx-pro-classic,gc,"Cofidis, Solutions Crédits",1.1,,0,0,,0.0,,,80.0
2017-06-04,2017,tour-auvergne-rhone-alpes,gc,"Cofidis, Solutions Crédits",2.UWT,,0,0,,30.0,,,40.0
2017-02-21,2017,tour-cycliste-international-la-provence,gc,"Cofidis, Solutions Crédits",2.1,,,1,,50.0,,,53.0
2017-07-01,2017,tour-de-france,gc,"Cofidis, Solutions Crédits",2.UWT,,0,0,,40.0,0.0,0.0,80.0
2017-07-01,2017,tour-de-france,kom,"Cofidis, Solutions Crédits",2.UWT,,0,0,,40.0,0.0,0.0,80.0
2017-07-01,2017,tour-de-france,points,"Cofidis, Solutions Crédits",2.UWT,,0,0,,40.0,0.0,0.0,80.0
2017-08-08,2017,tour-de-l-ain,gc,"Cofidis, Solutions Crédits",2.1,,0,0,,3.0,,,25.0
2017-05-31,2017,tour-de-luxembourg,gc,"Cofidis, Solutions Crédits",2.HC,,0,0,,260.0,,,280.0
