date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-08-06,2017,antwerpse-havenpijl,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,43.0
2017-04-22,2017,arno-wallaard-memorial,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,28.0
2017-03-12,2017,dorpenomloop-rucphen,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,0.0
2017-06-10,2017,dwars-door-de-vlaamse-ardennen,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,0.0
2017-09-11,2017,grote-prijs-marcel-kint,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,0.0
2017-07-07,2017,grote-prijs-stad-sint-niklaas2,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,20.0
2017-10-08,2017,international-azerbaijan-tour,gc,Baby-Dump Cyclingteam,2.1,25.0,3.0,1,,9.0,,,26.0
2017-09-03,2017,kernen-omloop-echt-susteren,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,40.0
2017-07-29,2017,kreiz-breizh-elites,gc,Baby-Dump Cyclingteam,2.2,,0,0,,0.0,,,3.0
2017-07-09,2017,midden-brabant-poort-omloop,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,3.0
2017-10-17,2017,nationale-sluitingsprijs-putte-kapellen,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,130.0
2017-06-25,2017,nc-netherlands,gc,Baby-Dump Cyclingteam,NC,,,1,,0.0,,,25.0
2017-09-20,2017,omloop-van-het-houtland-lichtervelde,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,3.0
2017-03-11,2017,ronde-van-drenthe,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,0.0
2017-06-11,2017,ronde-van-limburg,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,0.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Baby-Dump Cyclingteam,2.2,,0,0,,0.0,,,0.0
2017-05-14,2017,ronde-van-noord-holland,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,30.0
2017-05-06,2017,ronde-van-overijssel,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,20.0
2017-07-02,2017,slag-om-norg,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,41.0
2017-10-14,2017,tacx-pro-classic,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,5.0
2017-11-12,2017,tour-de-okinawa,gc,WTC de Amstel,1.2,,,1,,0.0,,,30.0
2017-04-12,2017,tour-du-loir-et-cher,gc,Baby-Dump Cyclingteam,2.2,,0,0,,0.0,,,7.0
2017-08-18,2017,veenendaal-veenendaal,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,30.0
2017-04-01,2017,volta-nxt-classic,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,0.0
2017-04-29,2017,zodc-zuidenveld-tour,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,40.0
2018-08-23,2018,baltic-chain-tour,gc,Global Cycling Team,2.2,,0,0,,0.0,,,0.0
2018-09-26,2018,banyuwangi-tour-de-ijen,gc,Global Cycling Team,2.2,,0,0,,3.0,,,4.0
2018-04-02,2018,circuito-belvedere,gc,Wielerploeg Groot Amsterdam,1.2U,,0,0,,0.0,,,0.0
2018-09-06,2018,giro-della-regione-friuli-venezia-giulia,gc,Wielerploeg Groot Amsterdam,2.2,,,1,,0.0,,,0.0
2018-04-03,2018,gp-palio-del-recioto,gc,Wielerploeg Groot Amsterdam,1.2U,,0,0,,0.0,,,0.0
2018-09-26,2018,grand-prix-chantal-biya,gc,Global Cycling Team,2.2,5.0,15.0,1,,18.0,,,21.0
2018-10-07,2018,piccolo-giro-di-lombardia,gc,Wielerploeg Groot Amsterdam,1.2U,,0,0,,0.0,,,0.0
2018-11-11,2018,tour-de-okinawa,gc,WTC de Amstel,1.2,,,1,,0.0,,,20.0
2018-05-26,2018,tour-du-cameroun,gc,Global Cycling Team,2.2,,0,0,,6.0,,,16.0
2018-10-26,2018,tour-du-faso,gc,Global Cycling Team,2.2,,0,0,,50.0,,,59.0
2019-09-05,2019,giro-della-regione-friuli-venezia-giulia,gc,Wielerploeg Groot Amsterdam,2.2,,,1,,0.0,,,0.0
2019-06-13,2019,oberosterreichrundfahrt,gc,Wielerploeg Groot Amsterdam,2.2,,0,0,,0.0,,,0.0
2019-11-10,2019,tour-de-okinawa,gc,WTC de Amstel,1.2,,,1,,0.0,,,0.0
2020-09-09,2020,course-cycliste-de-solidarnosc,gc,Wielerploeg Groot Amsterdam,2.2,,0,0,,0.0,,,0.0
2020-03-08,2020,dorpenomloop-rucphen,gc,Wielerploeg Groot Amsterdam,1.2,,,1,,0.0,,,0.0
2020-10-09,2020,giro-della-regione-friuli-venezia-giulia,gc,Wielerploeg Groot Amsterdam,2.2,,0,0,,0.0,,,0.0
2020-02-29,2020,ster-van-zwolle,gc,Wielerploeg Groot Amsterdam,1.2,,,1,,0.0,,,0.0
