date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-10-16,2021,ster-van-zwolle,gc,Metec - SOLARWATT p/b Mantel,1.2,,,1,,0.0,,,0.0
2021-05-27,2021,tour-de-la-mirabelle,gc,Metec - SOLARWATT p/b Mantel,2.2,,0,0,,33.0,,,40.0
2021-09-18,2021,zodc-zuidenveld-tour,gc,Metec - SOLARWATT p/b Mantel,1.2,,0,0,,0.0,,,0.0
2023-04-15,2023,arno-wallaard-memorial,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2023-03-12,2023,dorpenomloop-rucphen,gc,GRC Jan van Arckel,1.2,,,1,,0.0,,,0.0
2023-07-02,2023,midden-brabant-poort-omloop,gc,GRC Jan van Arckel,1.2,,,1,,0.0,,,0.0
2023-06-21,2023,nc-netherlands-itt,gc,GRC Jan van Arckel,NC,,0,0,,0.0,,,0.0
2023-05-06,2023,ronde-van-overijssel,gc,GRC Jan van Arckel,1.2,,,1,,0.0,,,0.0
2024-04-13,2024,arno-wallaard-memorial,gc,GRC Jan van Arckel,1.2,,,1,,0.0,,,30.0
2024-03-17,2024,dorpenomloop-rucphen,gc,GRC Jan van Arckel,1.2,,,1,,0.0,,,0.0
2024-06-30,2024,midden-brabant-poort-omloop,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2024-06-19,2024,nc-netherlands-itt,gc,GRC Jan van Arckel,NC,,,1,,0.0,,,0.0
2024-05-26,2024,omloop-der-kempen,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2024-08-25,2024,ronde-van-de-achterhoek,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2024-03-02,2024,ster-van-zwolle,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2025-09-27,2025,arno-wallaard-memorial,gc,GRC Jan van Arckel,1.2,,,1,,0.0,,,0.0
2025-03-09,2025,dorpenomloop-rucphen,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,3.0
2025-07-06,2025,midden-brabant-poort-omloop,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2025-06-28,2025,nc-netherlands,gc,GRC Jan van Arckel,NC,,0,0,,0.0,,,0.0
2025-05-18,2025,omloop-der-kempen,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,5.0
2025-08-31,2025,ronde-van-de-achterhoek,gc,GRC Jan van Arckel,1.2,,0,0,,0.0,,,0.0
2025-08-01,2025,tour-cycliste-international-de-la-guadeloupe,gc,GRC Jan van Arckel,2.2,,0,0,,3.0,,,-33.0
