date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2023-04-06,2023,circuit-des-ardennes,gc,Bingoal WB Development Team,2.2,,0,0,,0.0,,,0.0
2023-05-07,2023,fleche-ardennaise,gc,Bingoal WB Development Team,1.2,,0,0,,0.0,,,0.0
2023-09-30,2023,gp-cerami,gc,Bingoal WB Development Team,1.2,,,1,,0.0,,,0.0
2023-09-10,2023,gp-de-la-somme,gc,Bingoal WB Development Team,1.2,,0,0,,0.0,,,30.0
2023-03-05,2023,gp-de-la-ville-de-lillers,gc,Bingoal WB Development Team,1.2,,0,0,,0.0,,,0.0
2023-07-23,2023,grand-prix-de-la-ville-de-perenchies,gc,Bingoal WB Development Team,1.2,,,1,,0.0,,,0.0
2023-09-03,2023,grand-prix-de-plouay,gc,Bingoal WB Development Team,1.2,,0,0,,0.0,,,0.0
2023-09-17,2023,grote-prijs-rik-van-looy,gc,Bingoal WB Development Team,1.2,,,1,,0.0,,,0.0
2023-03-04,2023,le-tour-des-100-communes,gc,Bingoal WB Development Team,1.2,,,1,,0.0,,,0.0
2023-06-25,2023,nc-belgium,gc,Bingoal WB Development Team,NC,,0,0,,0.0,,,0.0
2023-03-22,2023,olympias-tour,gc,Bingoal WB Development Team,2.2,,0,0,,0.0,,,-5.0
2023-06-01,2023,ronde-de-l-oise,gc,Bingoal WB Development Team,2.2,76.0,0.0,1,,0.0,,,1.0
2023-07-19,2023,sd-worx-bw-classic,gc,Bingoal WB Development Team,1.2,,,1,,0.0,,,0.0
2023-05-26,2023,tour-de-la-mirabelle,gc,Bingoal WB Development Team,2.2,,0,0,,0.0,,,0.0
2023-06-16,2023,tour-du-pays-de-montbeliard,gc,Bingoal WB Development Team,2.2,,,1,,0.0,,,0.0
2023-06-02,2023,trofeo-alcide-degasperi,gc,Bingoal WB Development Team,1.2,,0,0,,0.0,,,0.0
2024-05-12,2024,fleche-ardennaise,gc,Bingoal WB Devo Team,1.2,,,1,,0.0,,,3.0
2024-09-28,2024,gp-cerami,gc,Bingoal WB Devo Team,1.2,,,1,,0.0,,,0.0
2024-03-03,2024,gp-de-la-ville-de-lillers,gc,Bingoal WB Devo Team,1.2,,0,0,,0.0,,,3.0
2024-09-07,2024,grote-prijs-rik-van-looy,gc,Bingoal WB Devo Team,1.2,,,1,,0.0,,,0.0
2024-09-08,2024,grote-prijs-stad-halle,gc,Bingoal WB Devo Team,1.2,,,1,,0.0,,,10.0
2024-03-02,2024,le-tour-des-100-communes,gc,Bingoal WB Devo Team,1.2,,0,0,,0.0,,,3.0
2024-06-23,2024,nc-belgium,gc,Bingoal WB Devo Team,NC,,0,0,,0.0,,,0.0
2024-05-30,2024,ronde-de-l-oise,gc,Bingoal WB Devo Team,2.2,,,1,,5.0,,,0.0
2024-06-30,2024,sd-worx-bw-classic,gc,Bingoal WB Devo Team,1.2,,,1,,0.0,,,15.0
2025-09-27,2025,gp-cerami,gc,Selection Wallonie,1.2,,,1,,0.0,,,0.0
