date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-02-23,2017,abu-dhabi-tour,gc,UAE Team Emirates,2.UWT,11.0,40.0,1,,360.0,,,400.0
2017-04-16,2017,amstel-gold-race,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,60.0
2017-08-27,2017,bretagne-classic,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,128.0
2017-09-02,2017,brussels-cycling-classic,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,155.0
2017-03-28,2017,classic-brugge-de-panne,gc,UAE Team Emirates,2.HC,,0,0,,45.0,,,50.0
2017-08-10,2017,colorado-classic,gc,UAE Team Emirates,2.HC,,0,0,,100.0,,,100.0
2017-09-13,2017,coppa-agostoni,gc,Italy,1.1,,0,0,,0.0,,,60.0
2017-09-14,2017,coppa-bernocchi,gc,Italy,1.1,,0,0,,0.0,,,50.0
2017-09-14,2017,coppa-bernocchi,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,110.0
2017-08-20,2017,cyclassics-hamburg,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,152.0
2017-01-31,2017,dubai-tour,gc,UAE Team Emirates,2.HC,,0,0,,40.0,,,40.0
2017-03-22,2017,dwars-door-vlaanderen,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,25.0
2017-03-24,2017,e3-harelbeke,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,16.0
2017-05-01,2017,eschborn-frankfurt,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,55.0
2017-08-05,2017,european-championships-mu,gc,UAE Team Emirates,CC,,0,0,,0.0,,,0.0
2017-03-26,2017,gent-wevelgem,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,105.0
2017-05-05,2017,giro-d-italia,gc,UAE Team Emirates,2.UWT,,0,0,,168.0,0.0,0.0,444.0
2017-05-05,2017,giro-d-italia,kom,UAE Team Emirates,2.UWT,,0,0,,168.0,0.0,0.0,444.0
2017-05-05,2017,giro-d-italia,points,UAE Team Emirates,2.UWT,,0,0,,168.0,0.0,0.0,444.0
2017-04-09,2017,giro-dell-appennino,gc,Italy,1.1,,0,0,,0.0,,,76.0
2017-09-30,2017,giro-dell-emilia,gc,UAE Team Emirates,1.HC,,,1,,0.0,,,71.0
2017-09-26,2017,giro-di-toscana,gc,UAE Team Emirates,2.1,,0,0,,3.0,,,3.0
2017-10-01,2017,gp-bruno-beghelli,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,70.0
2017-09-28,2017,gp-citta-di-peccioli,gc,UAE Team Emirates,1.1,,,1,,0.0,,,60.0
2017-02-05,2017,gp-costa-degli-etruschi,gc,UAE Team Emirates,1.1,,,1,,0.0,,,145.0
2017-02-05,2017,gp-costa-degli-etruschi,gc,Italy,1.1,,0,0,,0.0,,,0.0
2017-09-03,2017,gp-de-fourmies,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,85.0
2017-08-13,2017,gp-di-poggiana,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,1.0
2017-06-08,2017,gp-du-canton-d-argovie,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,203.0
2017-03-05,2017,gp-industria-artigianato,gc,Italy,1.HC,,0,0,,0.0,,,19.0
2017-03-05,2017,gp-industria-artigianato,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,33.0
2017-02-26,2017,gp-izola-butan-plin,gc,UAE Team Emirates,1.2,,0,0,,0.0,,,30.0
2017-05-07,2017,gp-lugano,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,65.0
2017-09-10,2017,gp-montreal,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,513.0
2017-09-08,2017,gp-quebec,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,93.0
2017-10-07,2017,il-lombardia,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,50.0
2017-04-03,2017,itzulia-basque-country,gc,UAE Team Emirates,2.UWT,23.0,16.0,1,,156.0,,,156.0
2017-04-19,2017,la-fleche-wallonne,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,88.0
2017-04-23,2017,liege-bastogne-liege,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,80.0
2017-09-16,2017,memorial-marco-pantani,gc,Italy,1.1,,,1,,0.0,,,125.0
2017-03-18,2017,milano-sanremo,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,43.0
2017-10-05,2017,milano-torino,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,8.0
2017-02-26,2017,nc-colombia,gc,UAE Team Emirates,NC,,0,0,,0.0,,,30.0
2017-06-25,2017,nc-italy,gc,UAE Team Emirates,NC,,,1,,0.0,,,55.0
2017-06-23,2017,nc-italy-itt,gc,UAE Team Emirates,NC,,0,0,,0.0,,,1.0
2017-06-25,2017,nc-poland,gc,UAE Team Emirates,NC,,0,0,,0.0,,,0.0
2017-06-25,2017,nc-slovenia,gc,UAE Team Emirates,NC,,0,0,,0.0,,,55.0
2017-06-09,2017,nc-slovenia-itt,gc,UAE Team Emirates,NC,,0,0,,0.0,,,30.0
2017-04-09,2017,nc-united-arab-emirates,gc,UAE Team Emirates,NC,,0,0,,0.0,,,30.0
2017-04-01,2017,nc-united-arab-emirates-itt,gc,UAE Team Emirates,NC,,0,0,,0.0,,,15.0
2017-06-25,2017,ncgreat-britain,gc,UAE Team Emirates,NC,,0,0,,0.0,,,25.0
2017-03-05,2017,paris-nice,gc,UAE Team Emirates,2.UWT,27.0,20.0,1,,25.0,,,25.0
2017-04-09,2017,paris-roubaix,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,20.0
2017-10-01,2017,piccolo-giro-di-lombardia,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,0.0
2017-08-07,2017,renewi-tour,gc,UAE Team Emirates,2.UWT,,0,0,,8.0,,,28.0
2017-07-30,2017,ride-london-classic,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,30.0
2017-04-02,2017,ronde-van-vlaanderen,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,185.0
2017-09-26,2017,ruota-d-oro-gp-festa-del-perdono,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,0.0
2017-07-29,2017,san-sebastian,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,42.0
2017-03-04,2017,strade-bianche,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,25.0
2017-10-08,2017,sun-hung-kai-properties-hong-kong-challenge,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,143.0
2017-03-09,2017,tirreno-adriatico,gc,UAE Team Emirates,2.UWT,,0,0,,40.0,,,40.0
2017-06-04,2017,tour-auvergne-rhone-alpes,gc,UAE Team Emirates,2.UWT,25.0,20.0,1,,165.0,,,210.0
2017-02-21,2017,tour-cycliste-international-la-provence,gc,UAE Team Emirates,2.1,,0,0,,6.0,,,6.0
2017-07-01,2017,tour-de-france,gc,UAE Team Emirates,2.UWT,39.0,25.0,1,,340.0,0.0,0.0,445.0
2017-07-01,2017,tour-de-france,kom,UAE Team Emirates,2.UWT,35.0,0.0,1,,340.0,0.0,0.0,445.0
2017-07-01,2017,tour-de-france,points,UAE Team Emirates,2.UWT,41.0,0.0,1,,340.0,0.0,0.0,445.0
2017-07-29,2017,tour-de-pologne,gc,UAE Team Emirates,2.UWT,,0,0,,94.0,,,144.0
2017-04-25,2017,tour-de-romandie,gc,UAE Team Emirates,2.UWT,13.0,50.0,1,,93.0,,,118.0
2017-06-10,2017,tour-de-suisse,gc,UAE Team Emirates,2.UWT,,0,0,,308.0,,,358.0
2017-01-17,2017,tour-down-under,gc,UAE Team Emirates,2.UWT,5.0,225.0,1,,238.0,,,248.0
2017-07-02,2017,tour-of-austria,gc,Italy,2.1,,0,0,,43.0,,,74.0
2017-05-14,2017,tour-of-california,gc,UAE Team Emirates,2.UWT,,0,0,,117.0,,,123.0
2017-04-18,2017,tour-of-croatia,gc,UAE Team Emirates,2.1,,0,0,,50.0,,,83.0
2017-10-19,2017,tour-of-guangxi,gc,UAE Team Emirates,2.UWT,,0,0,,145.0,,,145.0
2017-02-14,2017,tour-of-oman,gc,UAE Team Emirates,2.HC,,0,0,,155.0,,,185.0
2017-06-15,2017,tour-of-slovenia,gc,UAE Team Emirates,2.1,,0,0,,25.0,,,30.0
2017-04-17,2017,tour-of-the-alps,gc,Italy,2.HC,,0,0,,50.0,,,50.0
2017-10-10,2017,tour-of-turkey,gc,UAE Team Emirates,2.UWT,1.0,300.0,1,,402.0,,,454.0
2017-10-03,2017,tre-valli-varesine,gc,UAE Team Emirates,1.HC,,,1,,0.0,,,105.0
2017-10-03,2017,tre-valli-varesine,gc,Italy,1.HC,,0,0,,0.0,,,0.0
2017-02-12,2017,trofeo-laigueglia,gc,UAE Team Emirates,1.HC,,,1,,0.0,,,61.0
2017-02-12,2017,trofeo-laigueglia,gc,Italy,1.HC,,0,0,,0.0,,,300.0
2017-07-16,2017,trofeo-matteotti,gc,Italy,1.1,,0,0,,0.0,,,6.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Italy,CC,,0,0,,0.0,,,5.0
2017-08-06,2017,uec-road-european-championships-me,gc,Italy,CC,,0,0,,0.0,,,200.0
2017-03-20,2017,volta-a-catalunya,gc,UAE Team Emirates,2.UWT,,0,0,,48.0,,,48.0
2017-08-20,2017,vuelta-a-espana,gc,UAE Team Emirates,2.UWT,,0,0,,200.0,0.0,0.0,372.0
2017-08-20,2017,vuelta-a-espana,kom,UAE Team Emirates,2.UWT,,0,0,,200.0,0.0,0.0,372.0
2017-08-20,2017,vuelta-a-espana,points,UAE Team Emirates,2.UWT,,0,0,,200.0,0.0,0.0,372.0
2017-01-23,2017,vuelta-ciclista-a-la-provincia-de-san-juan,gc,Italy,2.1,,0,0,,0.0,,,15.0
2017-01-23,2017,vuelta-ciclista-a-la-provincia-de-san-juan,gc,UAE Team Emirates,2.1,,0,0,,50.0,,,69.0
2017-09-24,2017,world-championship,gc,Italy,WC,,,1,,0.0,,,361.0
2017-09-20,2017,world-championship-itt,gc,Italy,WC,,0,0,,0.0,,,100.0
2018-02-21,2018,abu-dhabi-tour,gc,UAE Team Emirates,2.UWT,7.0,95.0,1,,200.0,,,240.0
2018-06-21,2018,adriatica-ionica-race,gc,UAE Team Emirates,2.1,,0,0,,135.0,,,140.0
2018-04-15,2018,amstel-gold-race,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,63.0
2018-08-26,2018,bretagne-classic,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,80.0
2018-09-01,2018,brussels-cycling-classic,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,18.0
2018-09-15,2018,coppa-agostoni,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,0.0
2018-09-16,2018,coppa-bernocchi,gc,UAE Team Emirates,1.1,,0,0,,0.0,,,38.0
2018-08-19,2018,cyclassics-hamburg,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,308.0
2018-02-06,2018,dubai-tour,gc,UAE Team Emirates,2.HC,,0,0,,46.0,,,46.0
2018-03-28,2018,dwars-door-vlaanderen,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,5.0
2018-03-23,2018,e3-harelbeke,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,8.0
2018-05-01,2018,eschborn-frankfurt,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,322.0
2018-03-25,2018,gent-wevelgem,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,30.0
2018-05-04,2018,giro-d-italia,gc,UAE Team Emirates,2.UWT,28.0,24.0,1,,76.0,0.0,0.0,80.0
2018-05-04,2018,giro-d-italia,kom,UAE Team Emirates,2.UWT,44.0,0.0,1,,76.0,0.0,0.0,80.0
2018-05-04,2018,giro-d-italia,points,UAE Team Emirates,2.UWT,,,1,,76.0,0.0,0.0,80.0
2018-10-06,2018,giro-dell-emilia,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,13.0
2018-09-19,2018,giro-di-toscana,gc,UAE Team Emirates,1.1,,,1,,0.0,,,23.0
2018-10-07,2018,gp-bruno-beghelli,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,13.0
2018-09-20,2018,gp-citta-di-peccioli,gc,UAE Team Emirates,1.1,,,1,,0.0,,,8.0
2018-09-02,2018,gp-de-fourmies,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,70.0
2018-08-12,2018,gp-di-poggiana,gc,UAE Team Emirates,1.2U,,0,0,,0.0,,,0.0
2018-06-07,2018,gp-du-canton-d-argovie,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,203.0
2018-06-03,2018,gp-lugano,gc,UAE Team Emirates,1.1,,,1,,0.0,,,60.0
2018-09-09,2018,gp-montreal,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,375.0
2018-09-07,2018,gp-quebec,gc,UAE Team Emirates,1.UWT,,,1,,0.0,,,135.0
2018-10-11,2018,gran-piemonte,gc,UAE Team Emirates,1.HC,,0,0,,0.0,,,16.0
2018-10-13,2018,il-lombardia,gc,UAE Team Emirates,1.UWT,,0,0,,0.0,,,115.0
