date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-10-20,2019,japan-cup,gc,Kinan Cycling Team,1.HC,,,1,,0.0,,,0.0
2019-06-30,2019,nc-japan,gc,Kinan Cycling Team,NC,,,1,,0.0,,,1.0
2019-06-27,2019,nc-japan-itt,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-spain,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,0.0
2019-01-23,2019,new-zealand-cycle-classic,gc,Kinan Cycling Team,2.2,,0,0,,15.0,,,15.0
2019-08-11,2019,oita-urban-classic,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,20.0
2019-08-19,2019,speedy-tour-d-indonesia,gc,Kinan Cycling Team,2.1,33.0,0.0,1,,128.0,,,139.0
2019-07-21,2019,tokyo-2020-test-event,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,0.0
2019-09-06,2019,tour-de-hokkaido,gc,Kinan Cycling Team,2.2,5.0,15.0,1,,15.0,,,15.0
2019-04-17,2019,tour-de-iskandar-johor,gc,Kinan Cycling Team,2.2,16.0,0.0,1,,3.0,,,3.0
2019-06-12,2019,tour-de-korea,gc,Kinan Cycling Team,2.1,48.0,0.0,1,,8.0,,,8.0
2019-05-30,2019,tour-de-kumano,gc,Kinan Cycling Team,2.2,37.0,0.0,1,,0.0,,,7.0
2019-11-10,2019,tour-de-okinawa,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,0.0
2019-09-19,2019,tour-de-siak,gc,Kinan Cycling Team,2.2,5.0,15.0,1,,25.0,,,25.0
2019-03-17,2019,tour-de-taiwan,gc,Kinan Cycling Team,2.1,,0,0,,10.0,,,13.0
2019-10-15,2019,tour-of-peninsula,gc,Kinan Cycling Team,2.1,,0,0,,165.0,,,184.0
2019-04-01,2019,tour-of-thailand,gc,Kinan Cycling Team,2.1,41.0,0.0,1,,215.0,,,226.0
2020-02-05,2020,herald-sun-tour,gc,Kinan Cycling Team,2.1,73.0,0.0,1,,45.0,,,45.0
2020-08-23,2020,nc-spain,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,0.0
2020-01-15,2020,new-zealand-cycle-classic,gc,Kinan Cycling Team,2.2,65.0,0.0,1,,3.0,,,3.0
2021-10-24,2021,nc-japan,gc,Kinan Cycling Team,NC,,,1,,0.0,,,51.0
2021-10-22,2021,nc-japan-itt,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,30.0
2021-06-20,2021,nc-spain,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,3.0
2021-10-10,2021,oita-urban-classic,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,33.0
2021-05-28,2021,tour-of-japan,gc,Kinan Cycling Team,2.2,34.0,0.0,1,,55.0,,,60.0
2022-10-16,2022,japan-cup,gc,Kinan Cycling Team,1.Pro,,,1,,0.0,,,65.0
2022-06-26,2022,nc-japan,gc,Kinan Cycling Team,NC,,,1,,0.0,,,156.0
2022-06-24,2022,nc-japan-itt,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,6.0
2022-10-02,2022,oita-urban-classic,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,25.0
2022-09-09,2022,tour-de-hokkaido,gc,Kinan Cycling Team,2.2,27.0,0.0,1,,45.0,,,48.0
2022-05-27,2022,tour-de-kumano,gc,Kinan Cycling Team,2.2,14.0,0.0,1,,5.0,,,5.0
2022-11-13,2022,tour-de-okinawa,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,30.0
2022-10-02,2022,tour-de-taiwan,gc,Kinan Cycling Team,2.1,,0,0,,105.0,,,108.0
2022-05-19,2022,tour-of-japan,gc,Kinan Cycling Team,2.2,10.0,3.0,1,,31.0,,,32.0
2023-10-15,2023,japan-cup,gc,Kinan Cycling Team,1.Pro,,0,0,,0.0,,,0.0
2023-11-05,2023,mine-akiyoshi-dai-karst-international-road-race,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,33.0
2023-01-08,2023,nc-australia,gc,Kinan Cycling Team,NC,,0,0,,0.0,,,50.0
2023-06-25,2023,nc-japan,gc,Kinan Cycling Team,NC,,,1,,0.0,,,60.0
2023-01-11,2023,new-zealand-cycle-classic,gc,Kinan Cycling Team,2.2,34.0,0.0,1,,15.0,,,18.0
2023-10-01,2023,oita-urban-classic,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,65.0
2023-09-08,2023,tour-de-hokkaido,gc,Kinan Cycling Team,2.2,,0,0,,0.0,,,0.0
2023-06-03,2023,tour-de-kumano,gc,Kinan Cycling Team,2.2,24.0,0.0,1,,0.0,,,10.0
2023-10-07,2023,tour-de-kyushu,gc,Kinan Cycling Team,2.1,28.0,0.0,1,,45.0,,,50.0
2023-11-12,2023,tour-de-okinawa,gc,Kinan Cycling Team,1.2,,,1,,0.0,,,3.0
2023-03-12,2023,tour-de-taiwan,gc,Kinan Cycling Team,2.1,,0,0,,43.0,,,43.0
2023-05-21,2023,tour-of-japan,gc,Kinan Cycling Team,2.1,55.0,0.0,1,,80.0,,,88.0
2023-01-27,2023,tour-of-sharjah,gc,Kinan Cycling Team,2.2,31.0,0.0,1,,20.0,,,20.0
2024-07-22,2024,banyuwangi-tour-de-ijen,gc,Kinan Racing Team,2.2,62.0,0.0,1,,5.0,,,12.0
2024-10-20,2024,japan-cup,gc,Kinan Racing Team,1.Pro,,,1,,0.0,,,3.0
2024-01-07,2024,nc-australia,gc,Kinan Racing Team,NC,,0,0,,0.0,,,1.0
2024-06-23,2024,nc-japan,gc,Kinan Racing Team,NC,,,1,,0.0,,,6.0
2024-06-21,2024,nc-japan-itt,gc,Kinan Racing Team,NC,,0,0,,0.0,,,30.0
2024-01-10,2024,new-zealand-cycle-classic,gc,Kinan Racing Team,2.2,41.0,0.0,1,,3.0,,,3.0
2024-04-12,2024,oceania-championships,gc,Kinan Racing Team,CC,,0,0,,0.0,,,330.0
2024-04-13,2024,oceania-continental-championships-itt,gc,Kinan Racing Team,CC,,0,0,,0.0,,,45.0
2024-09-29,2024,oita-urban-classic,gc,Kinan Racing Team,1.2,,,1,,0.0,,,20.0
2024-05-10,2024,tour-de-kumano,gc,Kinan Racing Team,2.2,47.0,0.0,1,,15.0,,,16.0
2024-10-12,2024,tour-de-kyushu,gc,Kinan Racing Team,2.1,61.0,0.0,1,,5.0,,,5.0
2024-02-08,2024,tour-of-antalya,gc,Kinan Racing Team,2.1,109.0,0.0,1,,3.0,,,3.0
2024-05-19,2024,tour-of-japan,gc,Kinan Racing Team,2.2,,0,0,,3.0,,,4.0
2024-04-04,2024,tour-of-mersin,gc,Kinan Racing Team,2.2,69.0,0.0,1,,5.0,,,5.0
2024-08-30,2024,tour-of-samsun,gc,Kinan Racing Team,2.2,51.0,0.0,1,,3.0,,,3.0
2024-04-21,2024,tour-of-turkey,gc,Kinan Racing Team,2.Pro,93.0,0.0,1,,3.0,,,3.0
2025-08-24,2025,grand-prix-ordu,gc,Kinan Racing Team,1.2,,,1,,0.0,,,85.0
2025-10-19,2025,japan-cup,gc,Kinan Racing Team,1.Pro,,0,0,,0.0,,,5.0
2025-06-29,2025,nc-estonia,gc,Kinan Racing Team,NC,,0,0,,0.0,,,0.0
2025-06-21,2025,nc-estonia-itt,gc,Kinan Racing Team,NC,,0,0,,0.0,,,50.0
2025-06-22,2025,nc-japan,gc,Kinan Racing Team,NC,,,1,,0.0,,,75.0
2025-06-29,2025,nc-japan-itt,gc,Kinan Racing Team,NC,,0,0,,0.0,,,1.0
2025-10-05,2025,oita-urban-classic,gc,Kinan Racing Team,1.2,,,1,,0.0,,,35.0
2025-04-06,2025,syedra-ancient-city,gc,Kinan Racing Team,1.2,,,1,,0.0,,,10.0
2025-07-13,2025,the-road-race-tokyo-tama,gc,Kinan Racing Team,1.2,,,1,,0.0,,,0.0
2025-06-04,2025,tour-de-gyeongnam,gc,Kinan Racing Team,2.2,,0,0,,0.0,,,0.0
2025-05-08,2025,tour-de-kumano,gc,Kinan Racing Team,2.2,49.0,0.0,1,,0.0,,,0.0
2025-10-11,2025,tour-de-kyushu,gc,Kinan Racing Team,2.1,66.0,0.0,1,,88.0,,,93.0
2025-11-09,2025,tour-de-okinawa,gc,Kinan Racing Team,1.2,,,1,,0.0,,,6.0
2025-03-16,2025,tour-de-taiwan,gc,Kinan Racing Team,2.1,75.0,0.0,1,,11.0,,,11.0
2025-09-04,2025,tour-of-istanbul,gc,Kinan Racing Team,2.1,84.0,0.0,1,,38.0,,,38.0
2025-05-18,2025,tour-of-japan,gc,Kinan Racing Team,2.2,66.0,0.0,1,,0.0,,,0.0
2025-04-10,2025,tour-of-mersin,gc,Kinan Racing Team,2.2,74.0,0.0,1,,20.0,,,20.0
2025-08-27,2025,tour-of-samsun,gc,Kinan Racing Team,2.2,76.0,0.0,1,,45.0,,,52.0
2025-01-24,2025,tour-of-sharjah,gc,Kinan Racing Team,2.2,,0,0,,25.0,,,28.0
