date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-01-27,2017,deia-trophy,gc,Spain,1.1,,0,0,,0.0,,,70.0
2017-07-12,2017,giro-ciclistico-della-valle-d-aosta-mont-blanc,gc,Lizarte,2.2U,90.0,0.0,1,,0.0,,,0.0
2017-04-01,2017,gran-premio-miguel-indurain,gc,Spain,1.1,,0,0,,0.0,,,0.0
2017-01-29,2017,trofeo-palma,gc,Spain,1.1,,0,0,,0.0,,,43.0
2017-01-28,2017,trofeo-pollenca-port-d-andratx,gc,Spain,1.1,,0,0,,0.0,,,20.0
2017-01-26,2017,trofeo-ses-salines-felanitx,gc,Spain,1.1,,0,0,,0.0,,,30.0
2017-08-03,2017,uec-road-european-championships-itt,gc,Spain,CC,,0,0,,0.0,,,0.0
2017-08-06,2017,uec-road-european-championships-me,gc,Spain,CC,,0,0,,0.0,,,65.0
2017-02-02,2017,vuelta-a-la-comunidad-valenciana,gc,Spain,2.1,162.0,0.0,1,,0.0,,,0.0
2017-04-29,2017,vuelta-asturias,gc,Spain,2.1,,0,0,,3.0,,,6.0
2017-02-11,2017,vuelta-ciclista-a-la-region-de-murcia,gc,Spain,1.1,,,1,,0.0,,,0.0
2017-04-02,2017,vuelta-ciclista-a-la-rioja,gc,Spain,1.1,,0,0,,0.0,,,43.0
2017-05-05,2017,vuelta-international-a-la-cominudad-de-madrid,gc,Spain,2.1,,0,0,,0.0,,,5.0
2017-09-24,2017,world-championship,gc,Spain,WC,,0,0,,0.0,,,28.0
2017-09-20,2017,world-championship-itt,gc,Spain,WC,,0,0,,0.0,,,20.0
2020-09-04,2020,banja-luka-belgrade-i,gc,Equipo Kern Pharma,2.1,,0,0,,131.0,,,151.0
2020-08-06,2020,cic-mont-ventoux,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,3.0
2020-08-02,2020,circuito-de-getxo,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,0.0
2020-02-16,2020,clasica-de-almeria,gc,Equipo Kern Pharma,1.Pro,,0,0,,0.0,,,20.0
2020-01-31,2020,deia-trophy,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,0.0
2020-02-05,2020,etoile-de-besseges,gc,Equipo Kern Pharma,2.1,,0,0,,3.0,,,3.0
2020-10-09,2020,giro-della-regione-friuli-venezia-giulia,gc,Equipo Kern Pharma,2.2,,0,0,,40.0,,,40.0
2020-09-20,2020,gp-d-isbergues,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,0.0
2020-02-02,2020,gp-d-ouverture,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,3.0
2020-08-01,2020,la-route-d-occitanie,gc,Equipo Kern Pharma,2.1,59.0,0.0,1,,0.0,,,0.0
2020-08-23,2020,nc-spain,gc,Equipo Kern Pharma,NC,,,1,,0.0,,,23.0
2020-08-21,2020,nc-spain-itt,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,18.0
2020-09-27,2020,paris-chauny-classique,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,0.0
2020-10-12,2020,prueba-villafranca,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,3.0
2020-02-19,2020,ruta-del-sol,gc,Equipo Kern Pharma,2.Pro,67.0,0.0,1,,8.0,,,8.0
2020-09-01,2020,tour-de-serbie,gc,Equipo Kern Pharma,2.2,,0,0,,33.0,,,42.0
2020-09-06,2020,tour-du-doubs,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,0.0
2020-08-18,2020,tour-du-limousin,gc,Equipo Kern Pharma,2.1,,0,0,,40.0,,,40.0
2020-02-02,2020,trofeo-palma,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,15.0
2020-02-01,2020,trofeo-pollenca-port-d-andratx,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,0.0
2020-01-30,2020,trofeo-ses-salines-felanitx,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,60.0
2020-07-28,2020,vuelta-a-burgos,gc,Equipo Kern Pharma,2.Pro,,0,0,,8.0,,,8.0
2020-02-05,2020,vuelta-a-la-comunidad-valenciana,gc,Equipo Kern Pharma,2.Pro,55.0,0.0,1,,3.0,,,3.0
2020-02-14,2020,vuelta-ciclista-a-la-region-de-murcia,gc,Equipo Kern Pharma,2.1,,0,0,,0.0,,,0.0
2021-05-27,2021,boucles-de-la-mayenne,gc,Equipo Kern Pharma,2.Pro,,0,0,,3.0,,,3.0
2021-05-16,2021,challenge-mallorca-trofeo-pollenca-alcudia,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,0.0
2021-06-08,2021,cic-mont-ventoux,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,0.0
2021-08-01,2021,circuito-de-getxo,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,9.0
2021-02-14,2021,clasica-de-almeria,gc,Equipo Kern Pharma,1.Pro,,0,0,,0.0,,,6.0
2021-10-02,2021,classic-loire-atlantique,gc,Equipo Kern Pharma,1.1,,,1,,0.0,,,3.0
2021-05-14,2021,deia-trophy,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,3.0
2021-08-26,2021,deutschland-tour,gc,Equipo Kern Pharma,2.Pro,,0,0,,16.0,,,16.0
2021-02-03,2021,etoile-de-besseges,gc,Equipo Kern Pharma,2.1,,0,0,,8.0,,,8.0
2021-09-03,2021,giro-della-regione-friuli-venezia-giulia,gc,Equipo Kern Pharma,2.2,,0,0,,36.0,,,39.0
2021-01-31,2021,gp-d-ouverture,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,60.0
2021-01-24,2021,gp-de-valence,gc,Equipo Kern Pharma,1.2,,0,0,,0.0,,,20.0
2021-04-03,2021,gran-premio-miguel-indurain,gc,Equipo Kern Pharma,1.Pro,,0,0,,0.0,,,13.0
2021-03-11,2021,istrian-spring-tour,gc,Equipo Kern Pharma,2.2,,0,0,,30.0,,,33.0
2021-04-05,2021,itzulia-basque-country,gc,Equipo Kern Pharma,2.UWT,,0,0,,16.0,,,16.0
2021-06-10,2021,la-route-d-occitanie,gc,Equipo Kern Pharma,2.1,,0,0,,25.0,,,25.0
2021-09-20,2021,le-tour-de-bretagne,gc,Equipo Kern Pharma,2.2,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-colombia,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-czech-republic2,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-netherlands,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,0.0
2021-06-16,2021,nc-netherlands-itt,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,1.0
2021-06-20,2021,nc-russia,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,0.0
2021-06-20,2021,nc-spain,gc,Equipo Kern Pharma,NC,,,1,,0.0,,,40.0
2021-06-18,2021,nc-spain-itt,gc,Equipo Kern Pharma,NC,,0,0,,0.0,,,19.0
2021-09-15,2021,okolo-slovenska,gc,Equipo Kern Pharma,2.1,75.0,0.0,1,,60.0,,,60.0
2021-10-07,2021,paris-bourges,gc,Equipo Kern Pharma,1.1,,0,0,,0.0,,,3.0
2021-10-10,2021,paris-tours,gc,Equipo Kern Pharma,1.Pro,,0,0,,0.0,,,10.0
