date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-08-06,2017,antwerpse-havenpijl,gc,Baby-Dump Cyclingteam,1.2,,,1,,0.0,,,43.0
2017-04-22,2017,arno-wallaard-memorial,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,28.0
2017-04-29,2017,carpathia-couriers-paths,gc,WV De Jonge Renner,2.2U,72.0,0.0,1,,0.0,,,0.0
2017-03-12,2017,dorpenomloop-rucphen,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,0.0
2017-06-10,2017,dwars-door-de-vlaamse-ardennen,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,0.0
2017-09-11,2017,grote-prijs-marcel-kint,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,0.0
2017-07-07,2017,grote-prijs-stad-sint-niklaas2,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,20.0
2017-10-08,2017,international-azerbaijan-tour,gc,Baby-Dump Cyclingteam,2.1,,0,0,,9.0,,,26.0
2017-09-03,2017,kernen-omloop-echt-susteren,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,40.0
2017-07-29,2017,kreiz-breizh-elites,gc,Baby-Dump Cyclingteam,2.2,,0,0,,0.0,,,3.0
2017-07-09,2017,midden-brabant-poort-omloop,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,3.0
2017-10-17,2017,nationale-sluitingsprijs-putte-kapellen,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,130.0
2017-06-25,2017,nc-netherlands,gc,Baby-Dump Cyclingteam,NC,,0,0,,0.0,,,25.0
2017-09-20,2017,omloop-van-het-houtland-lichtervelde,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,3.0
2017-03-11,2017,ronde-van-drenthe,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,0.0
2017-06-11,2017,ronde-van-limburg,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,0.0
2017-08-27,2017,ronde-van-midden-nederland,gc,Baby-Dump Cyclingteam,2.2,120.0,0.0,1,,0.0,,,0.0
2017-08-27,2017,ronde-van-midden-nederland,gc,WV De Jonge Renner,2.2,,0,0,,0.0,,,0.0
2017-05-14,2017,ronde-van-noord-holland,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,30.0
2017-05-06,2017,ronde-van-overijssel,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,20.0
2017-07-02,2017,slag-om-norg,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,41.0
2017-10-14,2017,tacx-pro-classic,gc,Baby-Dump Cyclingteam,1.1,,,1,,0.0,,,5.0
2017-04-12,2017,tour-du-loir-et-cher,gc,Baby-Dump Cyclingteam,2.2,,0,0,,0.0,,,7.0
2017-08-18,2017,veenendaal-veenendaal,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,30.0
2017-04-01,2017,volta-nxt-classic,gc,Baby-Dump Cyclingteam,1.1,,0,0,,0.0,,,0.0
2017-04-29,2017,zodc-zuidenveld-tour,gc,Baby-Dump Cyclingteam,1.2,,0,0,,0.0,,,40.0
2018-06-16,2018,albani-classic-fyen-rundt,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,70.0
2018-08-05,2018,antwerpse-havenpijl,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,40.0
2018-04-21,2018,arno-wallaard-memorial,gc,Alecto Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-05-27,2018,circuit-de-wallonie,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,5.0
2018-03-11,2018,dorpenomloop-rucphen,gc,Alecto Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-06-09,2018,dwars-door-de-vlaamse-ardennen,gc,Alecto Cycling Team,1.2,,0,0,,0.0,,,20.0
2018-05-09,2018,fleche-du-sud,gc,Alecto Cycling Team,2.2,,0,0,,0.0,,,1.0
2018-09-23,2018,gooikse-pijl,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,0.0
2018-06-17,2018,gp-horsens,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,50.0
2018-09-02,2018,gylne-gutuer,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,0.0
2018-08-31,2018,hafjell-gp,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,0.0
2018-09-30,2018,international-azerbaijan-tour,gc,Alecto Cycling Team,2.1,,0,0,,53.0,,,72.0
2018-09-01,2018,lillehammer-gp,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,0.0
2018-06-10,2018,midden-brabant-poort-omloop,gc,Alecto Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-07-01,2018,nc-netherlands,gc,Alecto Cycling Team,NC,,0,0,,0.0,,,10.0
2018-06-27,2018,nc-netherlands-itt,gc,Alecto Cycling Team,NC,,0,0,,0.0,,,0.0
2018-09-11,2018,olympias-tour,gc,TWC De Kempen,2.2U,25.0,0.0,1,,0.0,,,0.0
2018-03-11,2018,ronde-van-drenthe,gc,Alecto Cycling Team,1.HC,,,1,,0.0,,,70.0
2018-08-26,2018,ronde-van-midden-nederland,gc,Alecto Cycling Team,1.2,,0,0,,0.0,,,0.0
2018-05-13,2018,ronde-van-noord-holland,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,5.0
2018-05-12,2018,ronde-van-overijssel,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,0.0
2018-08-11,2018,slag-om-norg,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,3.0
2018-10-13,2018,tacx-pro-classic,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,3.0
2018-08-22,2018,veenendaal-veenendaal,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,60.0
2018-03-31,2018,volta-nxt-classic,gc,Alecto Cycling Team,1.1,,0,0,,0.0,,,0.0
2018-04-28,2018,zodc-zuidenveld-tour,gc,Alecto Cycling Team,1.2,,,1,,0.0,,,10.0
2019-04-20,2019,arno-wallaard-memorial,gc,Alecto Cycling Team,1.2,,0,0,,0.0,,,3.0
2019-05-29,2019,fleche-du-sud,gc,Alecto Cycling Team,2.2,,0,0,,0.0,,,0.0
2019-09-22,2019,gooikse-pijl,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,3.0
2019-07-11,2019,gp-int-torres-vedras,gc,Alecto Cycling Team,2.2,,0,0,,0.0,,,0.0
2019-08-03,2019,kreiz-breizh-elites,gc,Alecto Cycling Team,2.2,60.0,0.0,1,,0.0,,,1.0
2019-10-13,2019,memorial-rik-van-steenbergen,gc,Alecto Cycling Team,1.1,,,1,,0.0,,,5.0
