date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-06-21,2018,nc-canada-itt,gc,Probaclac / Devinci,NC,,,1,,0.0,,,0.0
2018-06-23,2018,nc-canada2,gc,Probaclac / Devinci,NC,,,1,,0.0,,,1.0
2018-07-01,2018,nc-france,gc,Probaclac / Devinci,NC,,0,0,,0.0,,,0.0
2018-06-13,2018,tour-de-beauce,gc,Probaclac / Devinci,2.2,,,1,,0.0,,,0.0
2018-07-08,2018,tour-de-delta,gc,Probaclac / Devinci,1.2,,,1,,0.0,,,0.0
2018-05-28,2018,winston-salem-cycling-classic,gc,Probaclac / Devinci,1.1,,0,0,,0.0,,,0.0
2019-06-13,2019,coupe-des-nations-ville-saguenay,gc,Probaclac / Devinci,2.2,,0,0,,0.0,,,0.0
2019-06-28,2019,nc-canada-itt,gc,Probaclac / Devinci,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-canada2,gc,Probaclac / Devinci,NC,,,1,,0.0,,,0.0
2019-06-30,2019,nc-united-states,gc,Probaclac / Devinci,NC,,0,0,,0.0,,,0.0
2019-06-19,2019,tour-de-beauce,gc,Probaclac / Devinci,2.2,,,1,,0.0,,,0.0
2019-07-07,2019,tour-de-delta,gc,Probaclac / Devinci,1.2,,0,0,,0.0,,,0.0
2019-05-27,2019,winston-salem-cycling-classic,gc,Probaclac / Devinci,1.2,,0,0,,0.0,,,0.0
2023-06-14,2023,tour-de-beauce,gc,Cannondale Echelon p/b 4iiii,2.2,49.0,0.0,1,,15.0,,,21.0
2024-05-19,2024,gran-premio-new-york-city,gc,Cannondale Echelon p/b 4iiii,1.2,,,1,,0.0,,,3.0
2024-06-22,2024,nc-canada2,gc,Cannondale Echelon p/b 4iiii,NC,,,1,,0.0,,,0.0
2024-06-12,2024,tour-de-beauce,gc,Cannondale Echelon p/b 4iiii,2.2,,,1,,3.0,,,3.0
2025-05-18,2025,gran-premio-new-york-city,gc,Cannondale Echelon p/b 4iiii,1.2,,0,0,,0.0,,,0.0
2025-06-28,2025,nc-canada2,gc,Cannondale Echelon p/b 4iiii,NC,,,1,,0.0,,,21.0
2025-06-11,2025,tour-de-beauce,gc,Cannondale Echelon p/b 4iiii,2.2,,,1,,3.0,,,10.0
