date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2024-06-06,2024,elite-road-central-american-championships-itt,gc,Costa Rica,1.2,,0,0,,0.0,,,48.0
2024-06-09,2024,elite-road-central-american-championships-road-rac,gc,Costa Rica,1.2,,0,0,,0.0,,,65.0
2024-06-23,2024,nc-costa-rica,gc,Zamora Enamora,NC,,,1,,0.0,,,0.0
2024-06-23,2024,nc-spain,gc,Zamora Enamora,NC,,0,0,,0.0,,,0.0
2024-06-21,2024,nc-spain-itt,gc,Zamora Enamora,NC,,0,0,,0.0,,,0.0
2024-05-23,2024,panamerican-champ-itt,gc,Costa Rica,CC,,0,0,,0.0,,,5.0
2024-05-26,2024,panamerican-championships,gc,Costa Rica,CC,,0,0,,0.0,,,123.0
2024-05-01,2024,vuelta-bantrab,gc,Costa Rica,2.2,28.0,0.0,1,,0.0,,,-4.0
2024-12-13,2024,vuelta-internacional-a-costa-rica,gc,Team Costa Frut - Giant - AC Marriott Belen,2.2,15.0,0.0,1,,0.0,,,0.0
2024-12-13,2024,vuelta-internacional-a-costa-rica,gc,Costa Rica,2.2,,0,0,,0.0,,,0.0
2025-04-11,2025,elite-road-central-american-championships-itt,gc,Costa Rica,1.2,,0,0,,0.0,,,25.0
2025-04-13,2025,elite-road-central-american-championships-road-rac,gc,Costa Rica,1.2,,,1,,0.0,,,25.0
2025-10-19,2025,juegos-centroamericanos-ordeca-me-irr,gc,Costa Rica,1.2,,0,0,,0.0,,,30.0
2025-10-18,2025,juegos-centroamericanos-ordeca-me-itt,gc,Costa Rica,1.2,,0,0,,0.0,,,35.0
2025-06-22,2025,nc-costa-rica,gc,Manza Té La Selva Scott,NC,,,1,,0.0,,,50.0
2025-06-20,2025,nc-costa-rica-itt,gc,Manza Té La Selva Scott,NC,,0,0,,0.0,,,0.0
2025-04-24,2025,panamerican-champ-itt,gc,Costa Rica,CC,,0,0,,0.0,,,0.0
2025-04-27,2025,panamerican-championships,gc,Costa Rica,CC,,0,0,,0.0,,,358.0
2025-10-24,2025,vuelta-a-guatemala,gc,Manza Té La Selva Scott,2.2,,,1,,0.0,,,-5.0
2025-12-12,2025,vuelta-internacional-a-costa-rica,gc,Manza Té La Selva Scott,2.2,10.0,3.0,1,,13.0,,,31.0
2025-12-12,2025,vuelta-internacional-a-costa-rica,gc,Costa Rica,2.2,,0,0,,0.0,,,7.0
2025-09-28,2025,world-championship,gc,Costa Rica,WC,,0,0,,0.0,,,0.0
