date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-08-11,2019,antwerpse-havenpijl,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,0.0
2019-04-20,2019,arno-wallaard-memorial,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,0.0
2019-05-22,2019,baltyk-karkonosze-tour,gc,Team Lotto - Kern Haus,2.2,,0,0,,3.0,,,3.0
2019-08-29,2019,deutschland-tour,gc,Team Lotto - Kern Haus,2.HC,,0,0,,0.0,,,0.0
2019-07-25,2019,gp-cerami,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,0.0
2019-08-20,2019,gp-stad-zottegem,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,0.0
2019-06-09,2019,memorial-philippe-van-coningsloo,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,5.0
2019-06-16,2019,midden-brabant-poort-omloop,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,3.0
2019-10-03,2019,munsterland-giro,gc,Team Lotto - Kern Haus,1.HC,,0,0,,0.0,,,5.0
2019-06-30,2019,nc-germany,gc,Team Lotto - Kern Haus,NC,,,1,,0.0,,,1.0
2019-06-28,2019,nc-germany-itt,gc,Team Lotto - Kern Haus,NC,,0,0,,0.0,,,0.0
2019-03-03,2019,rhodes-gp,gc,Team Lotto - Kern Haus,1.2,,0,0,,0.0,,,0.0
2019-05-04,2019,ronde-van-overijssel,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,3.0
2019-04-05,2019,route-adelie-de-vitre,gc,Team Lotto - Kern Haus,1.1,,,1,,0.0,,,3.0
2019-06-02,2019,rund-um-koln,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,30.0
2019-08-25,2019,schaal-schels,gc,Team Lotto - Kern Haus,1.1,,,1,,0.0,,,0.0
2019-08-11,2019,slag-om-norg,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,9.0
2019-05-31,2019,szlakiem-walk-majora-hubala,gc,Team Lotto - Kern Haus,2.1,28.0,0.0,1,,43.0,,,43.0
2019-06-05,2019,tour-de-luxembourg,gc,Team Lotto - Kern Haus,2.HC,,0,0,,50.0,,,50.0
2019-03-25,2019,tour-de-normadie,gc,Team Lotto - Kern Haus,2.2,,0,0,,15.0,,,18.0
2019-03-08,2019,tour-of-rhodes,gc,Team Lotto - Kern Haus,2.2,,0,0,,10.0,,,10.0
2019-08-21,2019,veenendaal-veenendaal,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,3.0
2019-04-06,2019,volta-nxt-classic,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,0.0
2020-08-07,2020,czech-tour,gc,Team Lotto - Kern Haus,2.1,,0,0,,0.0,,,0.0
2020-03-08,2020,dorpenomloop-rucphen,gc,Team Lotto - Kern Haus,1.2,,,1,,0.0,,,3.0
2020-09-20,2020,gooikse-pijl,gc,Team Lotto - Kern Haus,1.1,,0,0,,0.0,,,5.0
2020-08-23,2020,nc-germany,gc,Team Lotto - Kern Haus,NC,,0,0,,0.0,,,3.0
2020-03-01,2020,rhodes-gp,gc,Team Lotto - Kern Haus,1.2,,0,0,,0.0,,,25.0
2020-03-06,2020,tour-of-rhodes,gc,Team Lotto - Kern Haus,2.2,,0,0,,33.0,,,39.0
