date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-07-25,2018,dookola-mazowsza,gc,TC Chrobry SCOTT Głogów,2.2,65.0,0.0,1,,0.0,,,0.0
2020-09-04,2020,baltyk-karkonosze-tour,gc,Wibatech Merx 7R,2.2,29.0,0.0,1,,30.0,,,34.0
2020-09-09,2020,course-cycliste-de-solidarnosc,gc,Wibatech Merx 7R,2.2,23.0,0.0,1,,15.0,,,15.0
2020-07-16,2020,dookola-mazowsza,gc,Wibatech Merx 7R,2.2,86.0,0.0,1,,0.0,,,0.0
2020-08-23,2020,nc-poland,gc,Wibatech Merx 7R,NC,,,1,,0.0,,,5.0
2020-08-09,2020,nc-ukraine,gc,Wibatech Merx 7R,NC,,0,0,,0.0,,,30.0
2020-07-19,2020,puchar-ministra-obrony-narodowej,gc,Wibatech Merx 7R,1.2,,,1,,0.0,,,10.0
2020-07-23,2020,sibiu-cycling-tour,gc,Wibatech Merx 7R,2.1,,,1,,0.0,,,0.0
2020-08-12,2020,tour-bitwa-warszawska-1920,gc,Wibatech Merx 7R,2.2,67.0,0.0,1,,15.0,,,25.0
2020-09-17,2020,tour-of-malopolska,gc,Wibatech Merx 7R,2.2,39.0,0.0,1,,20.0,,,24.0
2021-06-23,2021,course-cycliste-de-solidarnosc,gc,TC Chrobry SCOTT Głogów,2.2,30.0,0.0,1,,0.0,,,0.0
2021-07-14,2021,dookola-mazowsza,gc,TC Chrobry SCOTT Głogów,2.2,,0,0,,0.0,,,3.0
2021-07-17,2021,gp-czech-republic,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2021-08-15,2021,memorial-henryka-lasaka,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2021-07-24,2021,olympic-games,gc,Poland,Olympics,,0,0,,0.0,,,115.0
2021-07-28,2021,olympic-games-itt,gc,Poland,Olympics,,0,0,,0.0,,,5.0
2021-07-18,2021,puchar-ministra-obrony-narodowej,gc,TC Chrobry SCOTT Głogów,1.2,,0,0,,0.0,,,10.0
2021-08-20,2021,szlakiem-grodow-piastowskich,gc,TC Chrobry SCOTT Głogów,2.2,,,1,,0.0,,,0.0
2021-08-09,2021,tour-de-pologne,gc,Poland,2.UWT,,0,0,,16.0,,,16.0
2021-05-28,2021,tour-of-estonia,gc,Poland,2.1,,0,0,,5.0,,,5.0
2021-06-03,2021,tour-of-malopolska,gc,TC Chrobry SCOTT Głogów,2.2,,0,0,,0.0,,,0.0
2021-08-31,2021,turul-romaniei,gc,Poland,2.1,38.0,0.0,1,,8.0,,,8.0
2021-09-09,2021,uec-road-european-championships-itt,gc,Poland,CC,,0,0,,0.0,,,10.0
2021-09-12,2021,uec-road-european-championships-me,gc,Poland,CC,,0,0,,0.0,,,0.0
2021-07-10,2021,visegrad-4-bicycle-race-gp-hungary,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,0.0
2021-07-18,2021,visegrad-4-bicycle-race-gp-polski-via-odra,gc,TC Chrobry SCOTT Głogów,1.2,,,1,,0.0,,,3.0
2021-09-26,2021,world-championship,gc,Poland,WC,,0,0,,0.0,,,20.0
2021-09-19,2021,world-championship-itt,gc,Poland,WC,,0,0,,0.0,,,0.0
2022-04-14,2022,banja-luka-belgrade-i,gc,Santic - Wibatech,2.1,42.0,0.0,1,,15.0,,,21.0
2022-08-04,2022,czech-tour,gc,Santic - Wibatech,2.1,,,1,,0.0,,,0.0
2022-07-27,2022,dookola-mazowsza,gc,Santic - Wibatech,2.2,4.0,20.0,1,,23.0,,,23.0
2022-03-27,2022,gp-adria-mobil,gc,Santic - Wibatech,1.2,,,1,,0.0,,,0.0
2022-07-09,2022,gp-czech-republic,gc,Santic - Wibatech,1.2,,,1,,0.0,,,3.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,Santic - Wibatech,1.2,,,1,,0.0,,,0.0
2022-03-20,2022,gp-izola-butan-plin,gc,Santic - Wibatech,1.2,,0,0,,0.0,,,0.0
2022-04-29,2022,grand-prix-nasielsk-serock,gc,Santic - Wibatech,1.2,,,1,,0.0,,,0.0
2022-04-30,2022,grand-prix-wyszkow,gc,Santic - Wibatech,1.2,,,1,,0.0,,,15.0
2022-03-10,2022,istrian-spring-tour,gc,Santic - Wibatech,2.2,125.0,0.0,1,,0.0,,,3.0
2022-07-26,2022,memorial-andrzeja-trochanowskiego,gc,Santic - Wibatech,1.2,,0,0,,0.0,,,0.0
2022-08-13,2022,memorial-henryka-lasaka,gc,Santic - Wibatech,1.2,,,1,,0.0,,,0.0
2022-08-14,2022,memorial_jana_magiery_2022,gc,Santic - Wibatech,1.2,,,1,,0.0,,,10.0
2022-06-26,2022,nc-germany,gc,Santic - Wibatech,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-poland,gc,Santic - Wibatech,NC,,,1,,0.0,,,1.0
2022-06-09,2022,oberosterreichrundfahrt,gc,Santic - Wibatech,2.2,56.0,0.0,1,,0.0,,,0.0
2022-09-08,2022,okolo-jiznich-cech,gc,Santic - Wibatech,2.2,51.0,0.0,1,,0.0,,,0.0
2022-09-13,2022,okolo-slovenska,gc,Santic - Wibatech,2.1,110.0,0.0,1,,0.0,,,0.0
2022-03-06,2022,porec-trophy,gc,Santic - Wibatech,1.2,,0,0,,0.0,,,0.0
2022-07-31,2022,puchar-ministra-obrony-narodowej,gc,Santic - Wibatech,1.2,,,1,,0.0,,,30.0
2022-05-22,2022,rund-um-koln,gc,Santic - Wibatech,1.1,,0,0,,0.0,,,0.0
2022-05-26,2022,tour-of-estonia,gc,Santic - Wibatech,2.1,22.0,3.0,1,,3.0,,,3.0
2022-06-03,2022,tour-of-malopolska,gc,Santic - Wibatech,2.2,39.0,0.0,1,,0.0,,,0.0
2022-03-02,2022,trofej-umag,gc,Santic - Wibatech,1.2,,,1,,0.0,,,15.0
2022-07-23,2022,visegrad-4-bicycle-race-gp-hungary,gc,Santic - Wibatech,1.2,,,1,,0.0,,,3.0
2022-07-10,2022,visegrad-4-bicycle-race-gp-polski-via-odra,gc,Santic - Wibatech,1.2,,,1,,0.0,,,38.0
2022-07-24,2022,visegrad-4-bicycle-race-gp-slovakia,gc,Santic - Wibatech,1.2,,,1,,0.0,,,10.0
2023-06-28,2023,course-cycliste-de-solidarnosc,gc,Lubelskie Perła Polski,2.2,6.0,10.0,1,,10.0,,,10.0
2023-07-26,2023,dookola-mazowsza,gc,Lubelskie Perła Polski,2.2,60.0,0.0,1,,3.0,,,3.0
