date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2018-06-16,2018,albani-classic-fyen-rundt,gc,BHS - Almeborg-Bornholm,1.1,,0.0,0,,0.0,,,5.0
2018-03-25,2018,cholet-pays-de-loire,gc,BHS - Almeborg-Bornholm,1.1,,0.0,0,,0.0,,,13.0
2018-09-09,2018,chrono-champenois-masculin,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,40.0
2018-10-14,2018,chrono-des-nations,gc,BHS - Almeborg-Bornholm,1.1,,0.0,0,,0.0,,,125.0
2018-04-02,2018,circuito-belvedere,gc,BHS - Almeborg-Bornholm,1.2U,,,1,,0.0,,,0.0
2018-03-24,2018,classic-loire-atlantique,gc,BHS - Almeborg-Bornholm,1.1,,0.0,0,,0.0,,,125.0
2018-07-01,2018,danish-championships,gc,BHS - Almeborg-Bornholm,NC,,0.0,0,,0.0,,,8.0
2018-05-09,2018,fleche-du-sud,gc,BHS - Almeborg-Bornholm,2.2,,0.0,0,,0.0,,,0.0
2018-06-17,2018,gp-horsens,gc,BHS - Almeborg-Bornholm,1.1,,0.0,0,,0.0,,,85.0
2018-04-03,2018,gp-palio-del-recioto,gc,BHS - Almeborg-Bornholm,1.2U,,,1,,0.0,,,0.0
2018-09-02,2018,gylne-gutuer,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,5.0
2018-05-05,2018,hadeland-gp,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,6.0
2018-08-31,2018,hafjell-gp,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,48.0
2018-04-28,2018,himmerland-rundt,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,45.0
2018-09-01,2018,lillehammer-gp,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,10.0
2018-06-28,2018,nc-denmark-itt,gc,BHS - Almeborg-Bornholm,NC,,0.0,0,,0.0,,,74.0
2018-05-18,2018,paris-arras-tour,gc,BHS - Almeborg-Bornholm,2.2,,0.0,0,,23.0,,,23.0
2018-03-11,2018,paris-troyes,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,0.0
2018-05-06,2018,ringerike-gp,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,3.0
2018-05-12,2018,scandinavian-race-uppsala,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,30.0
2018-04-29,2018,skive-lobet,gc,BHS - Almeborg-Bornholm,1.2,,0.0,0,,0.0,,,28.0
2018-08-01,2018,tour-of-denmark,gc,BHS - Almeborg-Bornholm,2.HC,,0.0,0,,155.0,,,160.0
