date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2017-03-05,2017,3daagse-van-west-vlaanderen,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,5.0
2017-05-09,2017,4-jours-de-dunkerque,gc,WB Veranclassic Aqua Protect,2.HC,,0,0,,28.0,,,28.0
2017-08-10,2017,arctic-race-of-norway,gc,WB Veranclassic Aqua Protect,2.HC,,0,0,,10.0,,,10.0
2017-05-20,2017,berner-rundfahrt-tour-de-berne,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,15.0
2017-04-12,2017,brabantse-pijl,gc,WB Veranclassic Aqua Protect,1.HC,,0,0,,0.0,,,5.0
2017-03-17,2017,bredene-koksijde-classic,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,35.0
2017-09-02,2017,brussels-cycling-classic,gc,WB Veranclassic Aqua Protect,1.HC,,0,0,,0.0,,,10.0
2017-10-15,2017,chrono-des-nations,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,3.0
2017-05-01,2017,circuit-de-wallonie,gc,WB Veranclassic Aqua Protect,1.2,,,1,,0.0,,,38.0
2017-04-07,2017,circuit-des-ardennes,gc,WB Veranclassic Aqua Protect,2.2,,0,0,,35.0,,,42.0
2017-06-18,2017,circuit-des-xi-villes,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,105.0
2017-10-01,2017,circuit-franco-belge,gc,WB Veranclassic Aqua Protect,1.HC,,0,0,,0.0,,,73.0
2017-03-28,2017,classic-brugge-de-panne,gc,WB Veranclassic Aqua Protect,2.HC,,0,0,,70.0,,,70.0
2017-09-09,2017,de-kustpijl,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,18.0
2017-08-23,2017,druivenkoers-overijse,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,93.0
2017-06-10,2017,dwars-door-de-vlaamse-ardennen,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,46.0
2017-08-05,2017,dwars-door-het-hageland,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,60.0
2017-03-22,2017,dwars-door-vlaanderen,gc,WB Veranclassic Aqua Protect,1.UWT,,0,0,,0.0,,,35.0
2017-03-24,2017,e3-harelbeke,gc,WB Veranclassic Aqua Protect,1.UWT,,0,0,,0.0,,,4.0
2017-05-01,2017,eschborn-frankfurt,gc,WB Veranclassic Aqua Protect,1.UWT,,0,0,,0.0,,,35.0
2017-02-01,2017,etoile-de-besseges,gc,WB Veranclassic Aqua Protect,2.1,,0,0,,30.0,,,33.0
2017-10-11,2017,famenne-ardenne-classic,gc,WB Veranclassic Aqua Protect,1.1,,,1,,0.0,,,105.0
2017-02-25,2017,faun-ardeche-classic,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,0.0
2017-03-26,2017,gent-wevelgem,gc,WB Veranclassic Aqua Protect,1.UWT,,0,0,,0.0,,,70.0
2017-09-24,2017,gooikse-pijl,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,13.0
2017-07-19,2017,gp-cerami,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,45.0
2017-09-17,2017,gp-d-isbergues,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,15.0
2017-01-29,2017,gp-d-ouverture,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,3.0
2017-04-13,2017,gp-de-denain,gc,WB Veranclassic Aqua Protect,1.HC,,0,0,,0.0,,,100.0
2017-09-03,2017,gp-de-fourmies,gc,WB Veranclassic Aqua Protect,1.HC,,0,0,,0.0,,,76.0
2017-05-21,2017,gp-de-la-somme,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,18.0
2017-03-05,2017,gp-de-la-ville-de-lillers,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,28.0
2017-09-10,2017,gp-de-la-ville-de-nogent-sur-oise,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,48.0
2017-09-13,2017,gp-de-wallonie,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,5.0
2017-09-16,2017,gp-impanis-van-petegem,gc,WB Veranclassic Aqua Protect,1.HC,,0,0,,0.0,,,61.0
2017-08-20,2017,gp-jef-scherens,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,70.0
2017-03-01,2017,gp-samyn,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,93.0
2017-08-22,2017,gp-stad-zottegem,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,58.0
2017-07-23,2017,grand-prix-de-la-ville-de-perenchies,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,40.0
2017-07-08,2017,grote-prijs-jean-pierre-monsere,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,91.0
2017-09-11,2017,grote-prijs-marcel-kint,gc,WB Veranclassic Aqua Protect,1.2,,0,0,,0.0,,,28.0
2017-06-21,2017,halle-ingooigem,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,28.0
2017-06-03,2017,heist-op-den-berg,gc,WB Veranclassic Aqua Protect,1.1,,0,0,,0.0,,,53.0
