date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-04-28,2019,east-midlands-international-cicle-classic,gc,Memil - CCN Pro Cycling,1.2,,0,0,,0.0,,,0.0
2019-08-03,2019,hansa-bygg-kalmar-grand-prix,gc,Memil - CCN Pro Cycling,1.2,,0,0,,0.0,,,3.0
2019-05-04,2019,himmerland-rundt,gc,Memil - CCN Pro Cycling,1.2,,0,0,,0.0,,,0.0
2019-01-06,2019,nc-australia,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-norway,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,0.0
2019-06-27,2019,nc-norway-itt,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-sweden,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,100.0
2019-08-14,2019,nc-sweden-itt,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,50.0
2019-06-30,2019,ncgreat-britain,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,0.0
2019-05-11,2019,scandinavian-race-uppsala,gc,Memil - CCN Pro Cycling,1.2,,0,0,,0.0,,,3.0
2019-05-05,2019,skive-lobet,gc,Memil - CCN Pro Cycling,1.2,,0,0,,0.0,,,0.0
2019-03-17,2019,tour-de-taiwan,gc,Memil - CCN Pro Cycling,2.1,,0,0,,35.0,,,35.0
2019-04-05,2019,tour-du-maroc,gc,Memil - CCN Pro Cycling,2.2,,0,0,,45.0,,,59.0
2019-08-30,2019,tour-of-almaty,gc,Memil - CCN Pro Cycling,2.1,27.0,0.0,1,,3.0,,,3.0
2019-09-07,2019,tour-of-china,gc,Memil - CCN Pro Cycling,2.1,,,1,,93.0,,,101.0
2019-09-16,2019,tour-of-china-ii,gc,Memil - CCN Pro Cycling,2.1,22.0,3.0,1,,8.0,,,11.0
2019-11-17,2019,tour-of-fuzhou,gc,Memil - CCN Pro Cycling,2.1,9.0,25.0,1,,25.0,,,28.0
2019-07-15,2019,tour-of-magnificent-qinghai,gc,Memil - CCN Pro Cycling,2.HC,,0,0,,130.0,,,180.0
2019-10-09,2019,tour-of-taihu-lake,gc,Memil - CCN Pro Cycling,2.1,47.0,0.0,1,,3.0,,,3.0
2019-09-02,2019,tour-of-xingtai,gc,Memil - CCN Pro Cycling,2.2,35.0,0.0,1,,0.0,,,7.0
2020-09-09,2020,course-cycliste-de-solidarnosc,gc,Memil - CCN Pro Cycling,2.2,,0,0,,0.0,,,0.0
2020-01-31,2020,deia-trophy,gc,Memil - CCN Pro Cycling,1.1,,0,0,,0.0,,,0.0
2020-01-25,2020,gravel-and-tar,gc,Memil - CCN Pro Cycling,1.2,,,1,,0.0,,,35.0
2020-01-12,2020,nc-australia,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,0.0
2020-10-04,2020,nc-sweden,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,40.0
2020-07-25,2020,nc-sweden-itt,gc,Memil - CCN Pro Cycling,NC,,0,0,,0.0,,,10.0
2020-01-15,2020,new-zealand-cycle-classic,gc,Memil - CCN Pro Cycling,2.2,17.0,0.0,1,,0.0,,,0.0
2020-03-01,2020,tour-de-taiwan,gc,Memil - CCN Pro Cycling,2.1,,0,0,,8.0,,,8.0
2020-02-02,2020,trofeo-palma,gc,Memil - CCN Pro Cycling,1.1,,0,0,,0.0,,,0.0
2020-02-01,2020,trofeo-pollenca-port-d-andratx,gc,Memil - CCN Pro Cycling,1.1,,0,0,,0.0,,,0.0
2020-01-30,2020,trofeo-ses-salines-felanitx,gc,Memil - CCN Pro Cycling,1.1,,0,0,,0.0,,,0.0
2022-08-07,2022,commonwealth-games,gc,Australia,JR,,0,0,,0.0,,,0.0
2022-08-04,2022,commonwealth-games-itt2,gc,Australia,JR,,0,0,,0.0,,,0.0
2022-01-16,2022,nc-australia,gc,St George Continental Cycling Team,NC,,,1,,0.0,,,1.0
2022-02-13,2022,nc-new-zealand,gc,St George Continental Cycling Team,NC,,0,0,,0.0,,,1.0
2022-02-11,2022,nc-new-zealand-itt,gc,St George Continental Cycling Team,NC,,0,0,,0.0,,,6.0
2022-01-06,2022,new-zealand-cycle-classic,gc,St George Continental Cycling Team,2.2,,0,0,,0.0,,,10.0
2022-04-10,2022,oceania-championships,gc,Australia,CC,,,1,,0.0,,,280.0
2022-04-09,2022,oceania-continental-championships-itt,gc,Australia,CC,,0,0,,0.0,,,133.0
2022-10-02,2022,tour-de-taiwan,gc,St George Continental Cycling Team,2.1,,0,0,,0.0,,,0.0
2022-04-01,2022,tour-of-thailand,gc,St George Continental Cycling Team,2.1,,0,0,,8.0,,,8.0
2022-09-25,2022,world-championship,gc,Australia,WC,,0,0,,0.0,,,420.0
2022-09-18,2022,world-championship-itt,gc,Australia,WC,,0,0,,0.0,,,30.0
