date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2019-05-23,2019,chabany-race,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,5.0
2019-05-01,2019,five-rings-of-moscow,gc,Vino - Astana Motors,2.2,,0,0,,20.0,,,25.0
2019-02-10,2019,grand-prix-alanya,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,0.0
2019-02-09,2019,grand-prix-gazipasa,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,0.0
2019-03-10,2019,grand-prix-justiniano-hotels,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,15.0
2019-05-12,2019,grand-prix-minsk,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,0.0
2019-03-09,2019,grand-prix-velo-alanya,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,0.0
2019-05-26,2019,horizon-park-classic,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,15.0
2019-10-02,2019,international-azerbaijan-tour,gc,Vino - Astana Motors,2.1,,0,0,,11.0,,,25.0
2019-05-11,2019,minsk-cup,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,0.0
2019-06-30,2019,nc-kazakhstan,gc,Vino - Astana Motors,NC,,,1,,0.0,,,5.0
2019-06-26,2019,nc-kazakhstan-itt,gc,Vino - Astana Motors,NC,,,1,,0.0,,,1.0
2019-06-02,2019,odessa-gp,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,40.0
2019-05-24,2019,race-horizon-park,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,3.0
2019-05-25,2019,race-horizon-park-2,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,0.0
2019-08-02,2019,tour-cycliste-international-de-la-guadeloupe,gc,Vino - Astana Motors,2.2,12.0,0.0,1,,30.0,,,32.0
2019-05-17,2019,tour-d-eure-et-loir,gc,Vino - Astana Motors,2.2,65.0,0.0,1,,0.0,,,0.0
2019-06-12,2019,tour-de-korea,gc,Vino - Astana Motors,2.1,,0,0,,13.0,,,13.0
2019-05-24,2019,tour-de-l-ain,gc,Vino - Astana Motors,2.1,82.0,0.0,1,,35.0,,,35.0
2019-04-06,2019,tour-de-langkawi,gc,Vino - Astana Motors,2.HC,63.0,0.0,1,,135.0,,,135.0
2019-06-01,2019,tour-de-ribas,gc,Vino - Astana Motors,1.2,,0,0,,0.0,,,25.0
2019-07-30,2019,tour-de-serbie,gc,Vino - Astana Motors,2.2,,0,0,,25.0,,,26.0
2019-08-30,2019,tour-of-almaty,gc,Vino - Astana Motors,2.1,61.0,0.0,1,,3.0,,,8.0
2019-02-21,2019,tour-of-antalya,gc,Vino - Astana Motors,2.2,,0,0,,0.0,,,0.0
