date,year,course,type,equipe,classification,rang,pts_uci,selected,pts_uci_equipe_stage,pts_uci_equipe_gc,pts_uci_equipe_kom,pts_uci_equipe_points,pts_uci_equipe_total
2021-08-05,2021,czech-tour,gc,Adria Mobil,2.1,16.0,3.0,1,,3.0,,,3.0
2021-09-03,2021,giro-della-regione-friuli-venezia-giulia,gc,Adria Mobil,2.2,5.0,15.0,1,,15.0,,,15.0
2021-03-28,2021,gp-adria-mobil,gc,Adria Mobil,1.2,,,1,,0.0,,,15.0
2021-07-17,2021,gp-czech-republic,gc,Adria Mobil,1.2,,0,0,,0.0,,,20.0
2021-03-21,2021,gp-izola-butan-plin,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2021-07-25,2021,gp-kranj,gc,Adria Mobil,1.2,,0,0,,0.0,,,5.0
2021-05-30,2021,gp-slovenia,gc,Adria Mobil,1.2,,0,0,,0.0,,,20.0
2021-03-11,2021,istrian-spring-tour,gc,Adria Mobil,2.2,18.0,0.0,1,,0.0,,,0.0
2021-06-20,2021,nc-slovenia,gc,Adria Mobil,NC,,,1,,0.0,,,20.0
2021-06-17,2021,nc-slovenia-itt,gc,Adria Mobil,NC,,0,0,,0.0,,,6.0
2021-09-15,2021,okolo-slovenska,gc,Adria Mobil,2.1,,0,0,,0.0,,,0.0
2021-03-07,2021,porec-trophy,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2021-05-12,2021,tour-de-hongrie,gc,Adria Mobil,2.1,24.0,3.0,1,,3.0,,,3.0
2021-09-28,2021,tour-of-croatia,gc,Adria Mobil,2.1,55.0,0.0,1,,3.0,,,3.0
2021-06-09,2021,tour-of-slovenia,gc,Adria Mobil,2.Pro,19.0,5.0,1,,8.0,,,8.0
2021-03-03,2021,trofej-umag,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2022-04-14,2022,banja-luka-belgrade-i,gc,Adria Mobil,2.1,34.0,0.0,1,,70.0,,,75.0
2022-05-01,2022,circuito-del-porto-trofeo-arvedi,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2022-08-04,2022,czech-tour,gc,Adria Mobil,2.1,,,1,,0.0,,,0.0
2022-09-02,2022,giro-della-regione-friuli-venezia-giulia,gc,Adria Mobil,2.2,22.0,0.0,1,,0.0,,,0.0
2022-03-27,2022,gp-adria-mobil,gc,Adria Mobil,1.2,,,1,,0.0,,,3.0
2022-07-16,2022,gp-cycliste-de-gemenc,gc,Adria Mobil,2.2,,0,0,,0.0,,,0.0
2022-07-09,2022,gp-czech-republic,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2022-05-22,2022,gp-gorenjska,gc,Adria Mobil,1.2,,0,0,,0.0,,,30.0
2022-03-24,2022,gp-goriska-vipava-valley,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2022-03-20,2022,gp-izola-butan-plin,gc,Adria Mobil,1.2,,0,0,,0.0,,,3.0
2022-07-24,2022,gp-kranj,gc,Adria Mobil,1.2,,0,0,,0.0,,,25.0
2022-03-10,2022,istrian-spring-tour,gc,Adria Mobil,2.2,39.0,0.0,1,,0.0,,,0.0
2022-06-24,2022,nc-hungary,gc,Adria Mobil,NC,,0,0,,0.0,,,0.0
2022-06-22,2022,nc-hungary-itt,gc,Adria Mobil,NC,,0,0,,0.0,,,0.0
2022-06-26,2022,nc-slovenia,gc,Adria Mobil,NC,,,1,,0.0,,,143.0
2022-06-23,2022,nc-slovenia-itt,gc,Adria Mobil,NC,,0,0,,0.0,,,7.0
2022-09-13,2022,okolo-slovenska,gc,Adria Mobil,2.1,65.0,0.0,1,,0.0,,,0.0
2022-03-06,2022,porec-trophy,gc,Adria Mobil,1.2,,0,0,,0.0,,,20.0
2022-05-11,2022,tour-de-hongrie,gc,Adria Mobil,2.1,21.0,3.0,1,,6.0,,,6.0
2022-09-27,2022,tour-of-croatia,gc,Adria Mobil,2.1,79.0,0.0,1,,0.0,,,0.0
2022-06-03,2022,tour-of-malopolska,gc,Adria Mobil,2.2,8.0,3.0,1,,3.0,,,3.0
2022-06-15,2022,tour-of-slovenia,gc,Adria Mobil,2.Pro,59.0,0.0,1,,3.0,,,3.0
2022-03-02,2022,trofej-umag,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2022-07-10,2022,visegrad-4-bicycle-race-gp-polski-via-odra,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
2023-04-19,2023,banja-luka-belgrade-i,gc,Adria Mobil,2.2,46.0,0.0,1,,3.0,,,10.0
2023-03-26,2023,gp-adria-mobil,gc,Adria Mobil,1.2,,,1,,0.0,,,40.0
2023-07-14,2023,gp-cycliste-de-gemenc,gc,Adria Mobil,2.2,26.0,0.0,1,,3.0,,,3.0
2023-05-21,2023,gp-gorenjska,gc,Adria Mobil,1.2,,,1,,0.0,,,20.0
2023-03-23,2023,gp-goriska-vipava-valley,gc,Adria Mobil,1.2,,,1,,0.0,,,25.0
2023-03-19,2023,gp-izola-butan-plin,gc,Adria Mobil,1.2,,,1,,0.0,,,15.0
2023-07-23,2023,gp-kranj,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2023-04-30,2023,gp-vorarlberg,gc,Adria Mobil,1.2,,,1,,0.0,,,0.0
2023-09-02,2023,in-the-footsteps-of-the-romans,gc,Adria Mobil,2.2,46.0,0.0,1,,15.0,,,16.0
2023-03-09,2023,istrian-spring-tour,gc,Adria Mobil,2.2,13.0,0.0,1,,0.0,,,7.0
2023-06-25,2023,nc-serbia,gc,Adria Mobil,NC,,0,0,,0.0,,,75.0
2023-06-23,2023,nc-serbia-itt,gc,Adria Mobil,NC,,0,0,,0.0,,,30.0
2023-06-25,2023,nc-slovakia,gc,Adria Mobil,NC,,0,0,,0.0,,,0.0
2023-06-22,2023,nc-slovakia-itt,gc,Adria Mobil,NC,,0,0,,0.0,,,30.0
2023-06-25,2023,nc-slovenia,gc,Adria Mobil,NC,,,1,,0.0,,,46.0
2023-06-22,2023,nc-slovenia-itt,gc,Adria Mobil,NC,,,1,,0.0,,,13.0
2023-06-01,2023,oberosterreichrundfahrt,gc,Adria Mobil,2.2,27.0,0.0,1,,0.0,,,0.0
2023-09-13,2023,okolo-slovenska,gc,Adria Mobil,2.1,48.0,0.0,1,,0.0,,,0.0
2023-03-05,2023,porec-trophy,gc,Adria Mobil,1.2,,,1,,0.0,,,15.0
2023-05-26,2023,tour-de-la-mirabelle,gc,Adria Mobil,2.2,16.0,0.0,1,,0.0,,,0.0
2023-07-02,2023,tour-of-austria,gc,Adria Mobil,2.1,43.0,0.0,1,,0.0,,,0.0
2023-09-26,2023,tour-of-croatia,gc,Adria Mobil,2.1,63.0,0.0,1,,50.0,,,53.0
2023-06-14,2023,tour-of-slovenia,gc,Adria Mobil,2.Pro,56.0,0.0,1,,0.0,,,0.0
2023-03-01,2023,trofej-umag,gc,Adria Mobil,1.2,,0,0,,0.0,,,0.0
